NOMBRE,CALLE+Y+NUMERO,LOCALIDAD,MUNICIPIO
ARTEMIO+ALPIZAR+RUZ,CALLE+12,TIXCACALCUPUL,TIXCACALCUPUL
ONECIFORO+BURGOS+CONCHA,CALLE+12,TIXKOKOB,TIXKOKOB
JUAN+RAMON+JIMENEZ,CALLE+12,VALLADOLID,VALLADOLID
NUEVA+CREACION,CALLE+12,VALLADOLID,VALLADOLID
JOSE+PEON+CONTRERAS,CALLE+12+100+B,SINANCHE,SINANCHE
COLEGIO+DEL+BICENTENARIO,CALLE+12+204,MERIDA,MERIDA
COLEGIO+DE+EDUCACION+PEDAGOGICA+ACTIVA+INTEGRAL,CALLE+12+281,MERIDA,MERIDA
MAURO+LOPEZ+SOSA,CALLE+12+84,TIBOLON,SOTUTA
BICENTENARIO+INDEPENDENCIA+DE+MEXICO,CALLE+12+DIAGONAL+323,MERIDA,MERIDA
AQUILES+SERDAN,CALLE+12+SN,LOCHE,PANABA
LAZARO+CARDENAS+DEL+RIO,CALLE+120+NA,MERIDA,MERIDA
NELLY+SANSORES,CALLE+122,MERIDA,MERIDA
COLEGIO+ESPAÑOL+MEXICANO,CALLE+122+250,MERIDA,MERIDA
ESPAÑOL+MEXICANO,CALLE+122+266,MERIDA,MERIDA
MI+MEJOR+AMIGO,CALLE+123-A+237,MERIDA,MERIDA
MI+MEJOR+AMIGO,CALLE+123-A+237,MERIDA,MERIDA
COLEGIO+NIÑOS+DE+AMERICA,CALLE+124-D+281,MERIDA,MERIDA
COLEGIO+NIÑOS+DE+AMERICA-A.C.,CALLE+124-D+283,MERIDA,MERIDA
NIÑOS+EXPLORADORES,CALLE+124+100+B,MERIDA,MERIDA
AUGUSTO+MOLINA+RAMOS,CALLE+125,MERIDA,MERIDA
PEDRO+R+PINZON+SANCHEZ,CALLE+125,MERIDA,MERIDA
CONSUELO+ZAVALA,CALLE+125+897,MERIDA,MERIDA
CENTRO+ESCOLAR+JAIME+TORRES+BODET,CALLE+126+104+D,MERIDA,MERIDA
VICENTE+GAMBOA,CALLE+127-B+212,MERIDA,MERIDA
SERAPIO+RENDON,CALLE+127-B+212,MERIDA,MERIDA
LAURENCO+FILHO,CALLE+127-B+254,MERIDA,MERIDA
JOSE+MARIA+MORELOS,CALLE+129,MERIDA,MERIDA
NIÑOS+HEROES,CALLE+129+574,MERIDA,MERIDA
LAZARO+CARDENAS+DEL+RIO,CALLE+129+639,MERIDA,MERIDA
VICENTE+MARIA+VELAZQUEZ,CALLE+129+639,MERIDA,MERIDA
NICOLAS+BRAVO,CALLE+13,DZILAM+DE+BRAVO,DZILAM+DE+BRAVO
5+DE+FEBRERO,CALLE+13,HALACHO,HALACHO
RICARDO+LOPEZ+MENDEZ,CALLE+13,IZAMAL,IZAMAL
HERBERT+SPENCER,CALLE+13,MAXCANU,MAXCANU
LAZARO+CARDENAS+DEL+RIO,CALLE+13,MAXCANU,MAXCANU
FELIPE+CARRILLO+PUERTO,CALLE+13,MERIDA,MERIDA
FRANCISCO+JAVIER+MINA,CALLE+13,QUINTANA+ROO,QUINTANA+ROO
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+13,SANAHCAT,SANAHCAT
JACINTO+PAT,CALLE+13,SUDZAL,SUDZAL
ELIGIO+ANCONA,CALLE+13-A,TICUL,TICUL
CASA+BAMBINI,CALLE+13-A+337,MERIDA,MERIDA
CENTRO+EDUCATIVO+KUKULCAN,CALLE+13+101,MERIDA,MERIDA
CENTRO+EDUCATIVO+KUKULCAN,CALLE+13+101,MERIDA,MERIDA
CENTRO+DE+ESTIMULACION+TEMPRANA+MERIDA,CALLE+13+106+C,MERIDA,MERIDA
CENTRO+ESCOLAR+NUEVO+MEXICO,CALLE+13+106+D,MERIDA,MERIDA
CECILIO+CHI,CALLE+13+56,TEMOZON,TEMOZON
ELIGIO+ANCONA,CALLE+13+68,CHUBURNA,PROGRESO
DOMINGO+PERAZA,CALLE+13+77+A,DZILAM+GONZALEZ,DZILAM+GONZALEZ
DOMINGO+PERAZA,CALLE+13+77+A,DZILAM+GONZALEZ,DZILAM+GONZALEZ
JUSTO+SIERRA+O+RELLY,CALLE+13+8,TIXCACALTUYUB,YAXCABA
XAVIER+VILLAURRUTIA,CALLE+13+86,KANASIN,KANASIN
SECUNDARIA+NUM.+98,CALLE+13+SN,SANAHCAT,SANAHCAT
ANDRES+QUINTANA+ROO,CALLE+13+SN,TIBOLON,SOTUTA
GUSTAVO+DIAZ+ORDAZ,CALLE+131,MERIDA,MERIDA
PEDRO+MARIA+ANAYA,CALLE+131,MERIDA,MERIDA
ICHCAANSIHO,CALLE+132-A,MERIDA,MERIDA
BENITO+JUAREZ+GARCIA,CALLE+133+455,MERIDA,MERIDA
NIÑOS+HEROES,CALLE+133+455,MERIDA,MERIDA
GASPAR+ANTONIO+XIU,CALLE+133+671,MERIDA,MERIDA
QUINTANA+ROO,CALLE+136+717,MERIDA,MERIDA
MARIA+LAVALLE+URBINA,CALLE+138+503,MERIDA,MERIDA
IX+CHEBEL+YAX,CALLE+14,ACANCEH,ACANCEH
EULALIO+CASARES+GALERA,CALLE+14,X-CUYUM,CONKAL
FRANCISCO+I.+MADERO,CALLE+14,CHEMAX,CHEMAX
FELIPE+CARRILLO+PUERTO,CALLE+14,CHEMAX,CHEMAX
LUIS+ROSADO+VEGA,CALLE+14,CHEMAX,CHEMAX
LUIS+HUMBERTO+MONSREAL+OXTE,CALLE+14,CHEMAX,CHEMAX
FELIPE+CARRILLO+PUERTO,CALLE+14,DZAN,DZAN
MARGARITA+MAZA+DE+JUAREZ,CALLE+14,HALACHO,HALACHO
JACINTO+CANEK,CALLE+14,XANABA,IZAMAL
GONZALO+NAVARRO+BAEZ,CALLE+14,MERIDA,MERIDA
FRANCISCO+BATES,CALLE+14,CAUCEL,MERIDA
JOAQUIN+COELLO+COELLO,CALLE+14,KOMCHEN,MERIDA
SANTIAGO+XICOTENCATL,CALLE+14,TELCHAC+PUERTO,TELCHAC+PUERTO
LUIS+ALFONSO+ARCEO+SILVA,CALLE+14,TIXCACALCUPUL,TIXCACALCUPUL
MOTOLINIA+DE+MERIDA,CALLE+14+100,MERIDA,MERIDA
MOTOLINIA,CALLE+14+100,MERIDA,MERIDA
MOTOLINIA+DE+MERIDA,CALLE+14+100,MERIDA,MERIDA
FRANCISCO+SOSA+Y+ESCALANTE,CALLE+14+103+A,TELCHAC,TELCHAC+PUEBLO
CELSO+FLORES+ZAMORA,CALLE+14+106,XOCCHEL,XOCCHEL
VENUSTIANO+CARRANZA,CALLE+14+106+NA,TELCHAC,TELCHAC+PUEBLO
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+14+110,DZIDZANTUN,DZIDZANTUN
CUAUHTEMOC,CALLE+14+111+A,CUZAMA,CUZAMA
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+14+147,CENOTILLO,CENOTILLO
GRACIANO+RICALDE+GAMBOA,CALLE+14+147,CENOTILLO,CENOTILLO
COLEGIO+VILLA+INFANTIL+IBERO,CALLE+14+160,MERIDA,MERIDA
COLEGIO+DEL+BICENTENARIO,CALLE+14+193+C,MERIDA,MERIDA
CUAUHTEMOC,CALLE+14+203+B,TICUL,TICUL
JUSTO+SIERRA+MENDEZ,CALLE+14+301,MERIDA,MERIDA
JOSE+DE+LA+LUZ+MENA+ALCOCER,CALLE+14+35,MERIDA,MERIDA
1+DE+MAYO,CALLE+14+407,MERIDA,MERIDA
MI+REINO+INFANTIL,CALLE+14+530,MERIDA,MERIDA
MAGICO+UNIVERSO,CALLE+14+641,MERIDA,MERIDA
CENTRO+EDUCATIVO+INTEGRAL+DE+DESARROLLO+INFANTIL,CALLE+14+668+A,MERIDA,MERIDA
C.E.I.D.I.+CENTRO+EDUCATIVO+INTEGRAL+DE+DESARROLLO+INFANTIL,CALLE+14+668+A,MERIDA,MERIDA
MANITAS+CREATIVAS+DE+LA+LOTERIA+NACIONAL,CALLE+14+743,MERIDA,MERIDA
CENTRO+EDUCATIVO+DE+LOTERIA+NACIONAL,CALLE+14+743,MERIDA,MERIDA
AMPARO+ROSADO,CALLE+14+76,ACANCEH,ACANCEH
AMPARO+ROSADO,CALLE+14+76,ACANCEH,ACANCEH
ELADIO+NOVELO+GIL,CALLE+14+79,MAXCANU,MAXCANU
27+DE+SEPTIEMBRE,CALLE+14+84,MERIDA,MERIDA
HEIDI,CALLE+14+88,MERIDA,MERIDA
HEIDI,CALLE+14+88,MERIDA,MERIDA
IGNACIO+ALLENDE,CALLE+14+92,MOTUL+DE+CARRILLO+PUERTO,MOTUL
FRANCISCO+VILLA,CALLE+14+NA,CAUCEL,MERIDA
JUAN+RAMON+VEGA+CAMARA,CALLE+140,MERIDA,MERIDA
PRIMITIVO+ANTONIO+RUBIO+AVILA,CALLE+140,MERIDA,MERIDA
"ESCUELA+SECUNDARIA+TECNICA+72+""VICTOR+MANUEL+CERVERA+PACHECO""",CALLE+140,MERIDA,MERIDA
JUAN+PEDRO+PACHECO+TORRES,CALLE+145,MERIDA,MERIDA
REMIGIO+AGUILAR+SOSA,CALLE+145,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+26,CALLE+147+538+NA,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+26,CALLE+147+538+NA,MERIDA,MERIDA
U+NAJIL+XOOK,CALLE+147+890,MERIDA,MERIDA
PITAGORAS,CALLE+15,BACA,BACA
ANA+MARIA+DE+LOS+ANGELES+PIÑA+AZCORRA,CALLE+15,CANSAHCAB,CANSAHCAB
MARGARITA+MAZA+DE+JUAREZ,CALLE+15,CONKAL,CONKAL
MIGUEL+ANGEL+HERCILA+AVILEZ,CALLE+15,CUZAMA,CUZAMA
CRISTOBAL+COLON,CALLE+15,DZIDZANTUN,DZIDZANTUN
TIERRA+Y+LIBERTAD,CALLE+15,IZAMAL,IZAMAL
RAFAEL+RAMIREZ,CALLE+15,KINCHIL,KINCHIL
JOAQUIN+BARANDA,CALLE+15,MAXCANU,MAXCANU
FELIPE+CARRILLO+PUERTO,CALLE+15,MUNA,MUNA
HEROE+DE+NACOZARI,CALLE+15,SAN+FELIPE,SAN+FELIPE
BENITO+JUAREZ+GARCIA,CALLE+15,SANTA+ELENA,SANTA+ELENA
RAFAEL+JOSE+MOGUEL+GAMBOA,CALLE+15,SANTA+ELENA,SANTA+ELENA
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+15,PISTE,TINUM
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+15,PISTE,TINUM
PRUDENCIO+PATRON+PENICHE,CALLE+15,TIXCANCAL,TIZIMIN
SIMON+BOLIVAR,CALLE+15,LIBRE+UNION,YAXCABA
PLUTARCO+ELIAS+CALLES,CALLE+15-A+557,UMAN,UMAN
JOSE+VASCONCELOS,CALLE+15-A+557+NA,UMAN,UMAN
INSTITUTO+ORIENTE,CALLE+15-B+198,MERIDA,MERIDA
GUARDERIA+PARTICIPATIVA+NUM.+087+MARCELO+CANTO+ESPARZA,CALLE+15-C+193+A,MERIDA,MERIDA
JUAN+DE+LA+BARRERA,CALLE+15-D+416,UMAN,UMAN
GUILLERMO+PRIETO,CALLE+15+100,DZITYA,MERIDA
ALITZEL,CALLE+15+100+B,MERIDA,MERIDA
FLORINDA+BATISTA+ESPINOLA,CALLE+15+103,CUZAMA,CUZAMA
INSTITUTO+CHAMPLAIN,CALLE+15+104,MERIDA,MERIDA
JOSE+MARIA+ITURRALDE+TRACONIS,CALLE+15+106,MAXCANU,MAXCANU
MANUEL+COELLO+RUIZ,CALLE+15+106,MAXCANU,MAXCANU
EDUCACION+PARA+LA+PAZ,CALLE+15+113+A,MERIDA,MERIDA
CENTRO+EDUCATIVO+MONTESSORI+LANCASTER,CALLE+15+127+A,MERIDA,MERIDA
MONTESSORI+LANCASTER,CALLE+15+127+A,MERIDA,MERIDA
RODOLFO+NIETO+PADRON,CALLE+15+129,MERIDA,MERIDA
CAMPESTRE,CALLE+15+134,MERIDA,MERIDA
SECUNDARIA+CAMPESTRE,CALLE+15+157,MERIDA,MERIDA
INSTITUTO+EDUCATIVO+CAMPESTRE,CALLE+15+159,MERIDA,MERIDA
MORELOS,CALLE+15+201,MERIDA,MERIDA
ABELARDO+TRUJILLO,CALLE+15+209,MERIDA,MERIDA
MANUEL+CEPEDA+PERAZA,CALLE+15+218,TICUL,TICUL
DAVID+ALFARO+SIQUEIROS,CALLE+15+230,MERIDA,MERIDA
CENTRO+BILINGÜE+INFANTIL,CALLE+15+326,MERIDA,MERIDA
UN+MUNDO+FELIZ,CALLE+15+346,MERIDA,MERIDA
IGNACIO+ALLENDE,CALLE+15+52,SANAHCAT,SANAHCAT
LOL-HA,CALLE+15+549,MERIDA,MERIDA
JOSE+MARIA+MORELOS+Y+PAVON,CALLE+15+PONIENTE+109,MERIDA,MERIDA
JOSE+MARIA+MORELOS+Y+PAVON,CALLE+15+PONIENTE+109,MERIDA,MERIDA
ROMULO+ROZO+PEÑA,CALLE+151+322,MERIDA,MERIDA
JUAN+DE+DIOS+RODRIGUEZ+HEREDIA,CALLE+158,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+76,CALLE+158,MERIDA,MERIDA
MAYEL+NICTE,CALLE+159,MERIDA,MERIDA
FRANCISCO+GONZALEZ+BOCANEGRA,CALLE+16,CENOTILLO,CENOTILLO
MARIANO+SILVA+Y+ACEVES,CALLE+16,X-CUYUM,CONKAL
MANUEL+ANTONIO+AY,CALLE+16,CHICHIMILA,CHICHIMILA
ISOLINA+AGUILAR,CALLE+16,DZEMUL,DZEMUL
JUANA+FIGUEROA,CALLE+16,MERIDA,MERIDA
ENRIQUE+C+REBSAMEN,CALLE+16,MERIDA,MERIDA
RAFAEL+MOGUEL+GAMBOA,CALLE+16,MERIDA,MERIDA
LIVIA+MENDOZA+SANTANA,CALLE+16,MERIDA,MERIDA
JOSE+C+PENICHE+FAJARDO,CALLE+16,CAUCEL,MERIDA
JOSE+C+PENICHE+FAJARDO,CALLE+16,CAUCEL,MERIDA
SALVADOR+ALVARADO,CALLE+16,KANCABAL,MOTUL
POPOL+VUH,CALLE+16,SANAHCAT,SANAHCAT
ESCUELA+SECUNDARIA+TECNICA+NUM.+62,CALLE+16,SAN+FELIPE,SAN+FELIPE
TELESECUNDARIA+NUM.+173,CALLE+16,TEPAKAN,TEPAKAN
NARCISO+MENDOZA,CALLE+16,UMAN,UMAN
U+NAH+XOC+ICH+KOLI,CALLE+16-A,XOCCHEL,XOCCHEL
LIC.++NICOLAS+MOGUEL,CALLE+16-A+18,UMAN,UMAN
JOSEFA+ORTIZ+DE+DOMINGUEZ,CALLE+16-B+96,UMAN,UMAN
COLEGIO+EDUCATIVO+BRISAS,CALLE+16+101+B,MERIDA,MERIDA
COLEGIO+EDUCATIVO+BRISAS,CALLE+16+101+B,MERIDA,MERIDA
IMELDA+RIVERO+AZCORRA,CALLE+16+101+NA,POPOLA,VALLADOLID
20+DE+NOVIEMBRE,CALLE+16+116+B,DZIDZANTUN,DZIDZANTUN
PABLO+MORENO+TRIAY,CALLE+16+128+A,PROGRESO,PROGRESO
SALVADOR+ALVARADO,CALLE+16+151,CENOTILLO,CENOTILLO
LINA+LOPEZ+DE+ESQUIVEL,CALLE+16+310,MERIDA,MERIDA
CENTRO+EDUCATIVO+INFANTIL+MI+ESCUELITA,CALLE+16+338+A,MERIDA,MERIDA
SARA+BUENFIL,CALLE+16+473,MERIDA,MERIDA
SARA+BUENFIL,CALLE+16+477,MERIDA,MERIDA
MIGUEL+DE+CERVANTES+SAAVEDRA,CALLE+16+477,MERIDA,MERIDA
REVOLUCION,CALLE+16+589,MERIDA,MERIDA
AMADO+NERVO,CALLE+16+589,MERIDA,MERIDA
ESCUELA+SECUNDARIA+TECNICA+NUM.+61,CALLE+16+60,SAN+JOSE+TZAL,MERIDA
CENTRO+DE+DESARROLLO+INFANTIL+NAVAL+DE+YUKALPETEN,CALLE+16+607,PROGRESO,PROGRESO
CENTRO+EDUCATIVO+RENACIMIENTO,CALLE+16+61,MERIDA,MERIDA
JUANA+CAMARGO+ESCALANTE,CALLE+16+621,MERIDA,MERIDA
