ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
44,31ETV0133E,TELESECUNDARIA NUM. 133,MATUTINO,SECUNDARIA,31,ACANCEH,PETECTUNICH,,MERIDA,KANASIN
45,31ETV0055R,IGNACIO ZARAGOZA,MATUTINO,SECUNDARIA,37,ACANCEH,TEPICH CARRILLO,,MERIDA,KANASIN
46,31EES0062V,GRACIANO RICALDE GAMBOA,MATUTINO,SECUNDARIA,76,ACANCEH,TICOPO,,MERIDA,KANASIN
47,31DCC0291Q,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PREESCOLAR,157,AKIL,AKIL,CALLE 23,TEKAX,
48,31DCC0292P,GUADALUPE VICTORIA,MATUTINO,PREESCOLAR,119,AKIL,AKIL,CALLE 36,TEKAX,
49,31DCC2005T,CONSUELO ZAVALA CASTILLO,MATUTINO,PREESCOLAR,210,AKIL,AKIL,CALLE 41,TEKAX,
50,31DJN0159Y,LUZ MARIA SERRADEL,MATUTINO,PREESCOLAR,150,AKIL,AKIL,CALLE 33,TEKAX,
51,31KJN0291P,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,16,AKIL,AKIL,CALLE 5 DE MAYO,TEKAX,
52,31KJN0398H,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,3,AKIL,PLAN CHAC POZO TRES,,TEKAX,
53,31DPR0579Y,20 DE NOVIEMBRE,MATUTINO,PRIMARIA,302,AKIL,AKIL,CALLE 36,TEKAX,
54,31DPR0764U,NACHI COCOM,MATUTINO,PRIMARIA,325,AKIL,AKIL,CALLE 23,TEKAX,
55,31DPR0893O,FELIPE ALCOCER CASTILLO,MATUTINO,PRIMARIA,368,AKIL,AKIL,CALLE 20,TEKAX,
56,31EPR0002N,FELIPE CARRILLO PUERTO,MATUTINO,PRIMARIA,186,AKIL,AKIL,CALLE 20 40,TEKAX,
57,31EPR0243L,SOR JUANA INES DE LA CRUZ,VESPERTINO,PRIMARIA,151,AKIL,AKIL,CALLE 20 40,TEKAX,
58,31DPB0052V,ALFREDO BARRERA VASQUEZ,MATUTINO,PRIMARIA,52,AKIL,SAN DIEGO,,TEKAX,
59,31KPR0427C,PRIMARIA COMUNITARIA,DISCONTINUO,PRIMARIA,8,AKIL,PLAN CHAC POZO TRES,,TEKAX,
60,31DST0031V,ESCUELA SECUNDARIA TECNICA NUM. 31,MATUTINO,SECUNDARIA,572,AKIL,AKIL,CARRETERA AKIL-PENCUYUT KILOMETRO 2,TEKAX,
61,31DJN0141Z,LAZARO CARDENAS DEL RIO,MATUTINO,PREESCOLAR,106,BACA,BACA,CALLE 20-A 101,MOTUL,
62,31DJN0244V,PITAGORAS,MATUTINO,PREESCOLAR,55,BACA,BACA,CALLE 15,MOTUL,
63,31KJN0003G,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,8,BACA,SAN ISIDRO KUXUB,,MOTUL,
