ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
740,31DPB2030X,FELIPE CARRILLO PUERTO,MATUTINO,PRIMARIA,53,MAXCANU,MAXCANU,CALLE 19,MAXCANU,
741,31DPR0446H,LAZARO CARDENAS DEL RIO,MATUTINO,PRIMARIA,157,MAXCANU,MAXCANU,CALLE 13,MAXCANU,
742,31DPR0530F,JOSE MARIA ITURRALDE TRACONIS,MATUTINO,PRIMARIA,308,MAXCANU,MAXCANU,CALLE 15 106,MAXCANU,
743,31DPR0538Y,RENE TORRES CASTILLO,VESPERTINO,PRIMARIA,134,MAXCANU,MAXCANU,CALLE 16 82,MAXCANU,
744,31DPR0737X,BENITO JUAREZ GARCIA,MATUTINO,PRIMARIA,231,MAXCANU,MAXCANU,CALLE 16 82,MAXCANU,
745,31DPR0870D,GUADALUPE VICTORIA,MATUTINO,PRIMARIA,109,MAXCANU,MAXCANU,CALLE 19,MAXCANU,
746,31DPR1674I,MANUEL COELLO RUIZ,VESPERTINO,PRIMARIA,114,MAXCANU,MAXCANU,CALLE 15 106,MAXCANU,
747,31EPR0037C,DRA.  MONTESSORI,MATUTINO,PRIMARIA,326,MAXCANU,MAXCANU,CALLE 20 103,MAXCANU,
748,31DPR0702H,VENUSTIANO CARRANZA,MATUTINO,PRIMARIA,68,MAXCANU,COAHUILA (SANTA TERESA COAHUILA),,MAXCANU,
749,31DPR0735Z,VICENTE GUERRERO,MATUTINO,PRIMARIA,15,MAXCANU,CHACTUN (SAN JOSE CHACTUN),,MAXCANU,
750,31DPR0687F,EMILIANO ZAPATA,MATUTINO,PRIMARIA,53,MAXCANU,CHAN CHOCHOLA (SANTA EDUVIGES CHAN CHOCHOLA),,MAXCANU,
751,31DPR0692R,BENITO JUAREZ GARCIA,MATUTINO,PRIMARIA,142,MAXCANU,CHUNCHUCMIL,,MAXCANU,
752,31DPR0700J,LEONARDO BRAVO,MATUTINO,PRIMARIA,65,MAXCANU,GRANADA (CHICAN GRANADA),,MAXCANU,
753,31DPR0693Q,CANDELARIA RUZ PATRON,MATUTINO,PRIMARIA,42,MAXCANU,KANACHEN,,MAXCANU,
754,31DPR0701I,JOSE MARIA MORELOS Y PAVON,MATUTINO,PRIMARIA,75,MAXCANU,KOCHOL,,MAXCANU,
755,31DPR2069J,EL PIPILA,VESPERTINO,PRIMARIA,134,MAXCANU,KOCHOL,,MAXCANU,
756,31DPR0699K,FRANCISCO SARABIA,MATUTINO,PRIMARIA,80,MAXCANU,PARAISO,,MAXCANU,
757,31DPR0724T,CONSTITUCION DE 1917,MATUTINO,PRIMARIA,40,MAXCANU,SAN FERNANDO,,MAXCANU,
758,31DPR0696N,RODOLFO ALCOCER ANDRADE,MATUTINO,PRIMARIA,216,MAXCANU,SAN RAFAEL,,MAXCANU,
759,31KPR0326E,PRIMARIA COMUNITARIA,DISCONTINUO,PRIMARIA,9,MAXCANU,SANTA CRUZ,,MAXCANU,
760,31DPR0698L,DEFENSORES DE LA PATRIA,MATUTINO,PRIMARIA,109,MAXCANU,SANTA ROSA (SANTA ROSA DE LIMA),,MAXCANU,
761,31DPR0697M,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PRIMARIA,144,MAXCANU,SANTO DOMINGO,CALLE 12,MAXCANU,
762,31DES2019V,ELADIO NOVELO GIL,VESPERTINO,SECUNDARIA,128,MAXCANU,MAXCANU,CALLE 14 79,MAXCANU,
763,31DST0005X,ESCUELA SECUNDARIA TECNICA NUM. 5,MATUTINO,SECUNDARIA,719,MAXCANU,MAXCANU,CALLE 25,MAXCANU,
764,31ETV0079A,LAS AMERICAS,MATUTINO,SECUNDARIA,29,MAXCANU,COAHUILA (SANTA TERESA COAHUILA),,MAXCANU,
765,31ETV0155Q,ALFREDO BARRERA VASQUEZ,MATUTINO,SECUNDARIA,25,MAXCANU,CHAN CHOCHOLA (SANTA EDUVIGES CHAN CHOCHOLA),,MAXCANU,
766,31ETV0002M,FELIPE CARRILLO PUERTO,MATUTINO,SECUNDARIA,62,MAXCANU,CHUNCHUCMIL,,MAXCANU,
767,31ETV0139Z,ALFONSO HERRERA CRUZ,MATUTINO,SECUNDARIA,87,MAXCANU,KOCHOL,,MAXCANU,
768,31ETV0017O,VALENTIN GOMEZ FARIAS,MATUTINO,SECUNDARIA,42,MAXCANU,PARAISO,,MAXCANU,
769,31ETV0147H,GONZALO CAMARA ZAVALA,MATUTINO,SECUNDARIA,80,MAXCANU,SAN RAFAEL,,MAXCANU,
770,31ETV0018N,PLUTARCO ELIAS CALLES,MATUTINO,SECUNDARIA,104,MAXCANU,SANTO DOMINGO,,MAXCANU,
771,31DCC0153O,ITZ CAAN,MATUTINO,PREESCOLAR,158,MAYAPAN,MAYAPAN,CALLE 24,TICUL,
772,31DPB2032V,ORENCIO ITZA,MATUTINO,PRIMARIA,144,MAYAPAN,MAYAPAN,CALLE 23,TICUL,
773,31DPR1016Y,CRISTOBAL COLON,MATUTINO,PRIMARIA,293,MAYAPAN,MAYAPAN,CALLE 20,TICUL,
774,31DPR2088Y,JOSE VASCONCELOS,VESPERTINO,PRIMARIA,103,MAYAPAN,MAYAPAN,CALLE 20,TICUL,
775,31EES0115J,SANTIAGO PACHECO CRUZ,VESPERTINO,SECUNDARIA,270,MAYAPAN,MAYAPAN,CALLE 20,TICUL,
776,31DDI0001C,DOLORES OTERO MALDONADO,MATUTINO,INICIAL,175,MERIDA,MERIDA,CALLE 57-D,MERIDA,MERIDA
777,31DDI0002B,CENTRO DE DESARROLLO INFANTIL NUM. 3,VESPERTINO,INICIAL,48,MERIDA,MERIDA,CALLE ANTIGUA CARRETERA A CHUBURNA,MERIDA,MERIDA
778,31DDI0003A,FELIPA POOT,MATUTINO,INICIAL,227,MERIDA,MERIDA,CALLE ANTIGUA CARRETERA A CHUBURNA,MERIDA,MERIDA
779,31DDI0004Z,CARLOS CARRILLO VEGA,MATUTINO,INICIAL,68,MERIDA,MERIDA,CALLE 96,MERIDA,MERIDA
780,31DDI0006Y,CONSUELO ZAVALA CASTILLO,MATUTINO,INICIAL,110,MERIDA,MERIDA,CALLE 49-D,MERIDA,MERIDA
781,31EDI0001B,JUANA FIGUEROA,MATUTINO,INICIAL,179,MERIDA,MERIDA,CALLE 16,MERIDA,MERIDA
782,31EDI1001I,LINA LOPEZ DE ESQUIVEL,MATUTINO,INICIAL,44,MERIDA,MERIDA,CALLE 16 310,MERIDA,MERIDA
783,31EDI1002H,OLGA MANZANO,MATUTINO,INICIAL,50,MERIDA,MERIDA,CALLE 44 500,MERIDA,MERIDA
784,31EDI1003G,ELVIA CARRILLO,DISCONTINUO,INICIAL,37,MERIDA,MERIDA,CALLE 75,MERIDA,MERIDA
785,31EDI1004F,CORDEMEX,MATUTINO,INICIAL,31,MERIDA,MERIDA,CALLE 49,MERIDA,MERIDA
786,31EDI1005E,CARMEN GOMEZ RUL,DISCONTINUO,INICIAL,42,MERIDA,MERIDA,CALLE 117,MERIDA,MERIDA
787,31EDI1006D,JULIA PEON,DISCONTINUO,INICIAL,39,MERIDA,MERIDA,CALLE 54 554,MERIDA,MERIDA
788,31EDI1007C,ROSA TORRES,MATUTINO,INICIAL,41,MERIDA,MERIDA,CALLE 22,MERIDA,MERIDA
789,31PDI0004E,HEIDI,MATUTINO,INICIAL,2,MERIDA,MERIDA,CALLE 14 88,MERIDA,MERIDA
790,31PDI0005D,PRINCIPITOS,MATUTINO,INICIAL,2,MERIDA,MERIDA,CALLE 26 121,MERIDA,MERIDA
791,31PDI0023T,MI SEGUNDO HOGAR,MATUTINO,INICIAL,14,MERIDA,MERIDA,CALLE 26 254,MERIDA,MERIDA
792,31PDI0024S,CENTRO EDUCATIVO RENACIMIENTO,MATUTINO,INICIAL,31,MERIDA,MERIDA,CALLE 33 468,MERIDA,MERIDA
793,31PDI0037W,CENDI Y JARDIN EL MUNDO DE LOS NIÑOS,MATUTINO,INICIAL,125,MERIDA,MERIDA,CALLE 23-A 323,MERIDA,MERIDA
794,31PDI0038V,GUARDERIA ATENEO DE MERIDA,DISCONTINUO,INICIAL,217,MERIDA,MERIDA,CALLE 32 151,MERIDA,MERIDA
795,31PDI0039U,GVC CENTRO UNIVERSAL PARA NIÑOS ACTIVOS Y SOCIALES 036,MATUTINO,INICIAL,71,MERIDA,MERIDA,CALLE 25,MERIDA,MERIDA
796,31PDI0040J,GVC NUM. 115 CENTRO DE DESARROLLO INFANTIL LOS PAYASOS,MATUTINO,INICIAL,114,MERIDA,MERIDA,CALLE 56-A AVENIDA CAMPO DEPORTIVO 307,MERIDA,MERIDA
797,31PDI0041I,GVC EDUCACION ACTIVA E INTEGRAL 118,MATUTINO,INICIAL,131,MERIDA,MERIDA,CALLE 19,MERIDA,MERIDA
798,31PDI0043G,GVC GUARDERIA Y KINDER MONTESSORI ITZIMNA 144,MATUTINO,INICIAL,151,MERIDA,MERIDA,CALLE 27-A 487,MERIDA,MERIDA
799,31PDI0046D,GVC CENTRO DE ENSEÑANZA ROSADO PEREZ,DISCONTINUO,INICIAL,166,MERIDA,MERIDA,CALLE 50 279,MERIDA,MERIDA
800,31PDI0047C,GVC GUARDERIAS DEL MAYAB LOS PERIQUITOS,MATUTINO,INICIAL,206,MERIDA,MERIDA,CALLE 67 203 E,MERIDA,MERIDA
801,31PDI0049A,CENDI MONTE LIBANO NUM. 186,MATUTINO,INICIAL,92,MERIDA,MERIDA,CALLE 54 493,MERIDA,MERIDA
802,31PDI0050Q,GUARDERIA VECINAL COMUNITARIA NUM. 689,DISCONTINUO,INICIAL,80,MERIDA,MERIDA,CALLE 60 485,MERIDA,MERIDA
803,31PDI0051P,GUARDERIA ORDINARIA 001 INSTITUTO MEXICANO DEL SEGURO SOCIAL,MATUTINO,INICIAL,168,MERIDA,MERIDA,CALLE 65 403 A,MERIDA,MERIDA
804,31PDI0052O,GUARDERIA PARTICIPATIVA NUM. 087 MARCELO CANTO ESPARZA,MATUTINO,INICIAL,97,MERIDA,MERIDA,CALLE 15-C 193 A,MERIDA,MERIDA
805,31PDI0055L,GUARDERIA PARTICIPATIVA NUM. 112 MARCELO CANTO ESPARZA,MATUTINO,INICIAL,87,MERIDA,MERIDA,CALLE 61 680,MERIDA,MERIDA
806,31PDI0056K,GUARDERIA PARTICIPATIVA DE COMERCIO,DISCONTINUO,INICIAL,79,MERIDA,MERIDA,AVENIDA CUPULES 83 A,MERIDA,MERIDA
807,31PDI0057J,GUARDERIA CAMARA DE COMERCIO,DISCONTINUO,INICIAL,103,MERIDA,MERIDA,CALLE 35-A 401,MERIDA,MERIDA
808,31PDI0058I,GUARDERIA PARTICIPATIVA NUM. 214 CANACINTRA DELEGACION YUCATAN,MATUTINO,INICIAL,84,MERIDA,MERIDA,CALLE 21 444,MERIDA,MERIDA
809,31PDI0059H,CENTRO BANCARIO DE DESARROLLO DE LA NIÑEZ-U-747,MATUTINO,INICIAL,55,MERIDA,MERIDA,CALLE 37 353,MERIDA,MERIDA
810,31PDI0060X,GUARDERIA PARTICIPATIVA CAMARA DE COMERCIO DE MERIDA,DISCONTINUO,INICIAL,110,MERIDA,MERIDA,CALLE 97-D 710,MERIDA,MERIDA
811,31PDI0061W,GUARDERIA PARTICIPATIVA NUM. 263 CANACINTRA DELEGACION YUCATAN,MATUTINO,INICIAL,94,MERIDA,MERIDA,CALLE 59 839,MERIDA,MERIDA
812,31PDI0063U,GUARDERIA PARTICIPATIVA NUM. 326 SERVICIOS DE GUARDERIA A LA NIÑEZ CAN,MATUTINO,INICIAL,131,MERIDA,MERIDA,CALLE 24 188 B,MERIDA,MERIDA
813,31PDI0066R,CENTRO EDUCATIVO PEQUEMUNDO,MATUTINO,INICIAL,130,MERIDA,MERIDA,CALLE 21 DIAGONAL 374,MERIDA,MERIDA
814,31PDI0067Q,CONSORCIO EDUCATIVO DEL MAYAB GVU-1359,DISCONTINUO,INICIAL,108,MERIDA,MERIDA,CALLE 26 266,MERIDA,MERIDA
815,31PDI0068P,CONSORCIO EDUCATIVO DEL MAYAB BVU-1344,DISCONTINUO,INICIAL,108,MERIDA,MERIDA,CALLE 7 365,MERIDA,MERIDA
816,31PDI0069O,ENFANT,DISCONTINUO,INICIAL,136,MERIDA,MERIDA,CALLE 19 78,MERIDA,MERIDA
817,31PDI0070D,CENTRO EDUCATIVO ITZIMNA,DISCONTINUO,INICIAL,177,MERIDA,MERIDA,CALLE 11 203,MERIDA,MERIDA
818,31PDI0071C,CENTRO EDUCATIVO SALVADOR ALVARADO ORIENTE,DISCONTINUO,INICIAL,92,MERIDA,MERIDA,CALLE 38 559,MERIDA,MERIDA
819,31PDI0072B,CENTRO DE DESARROLLO INFANTIL DE MERIDA,DISCONTINUO,INICIAL,109,MERIDA,MERIDA,CALLE 53 488,MERIDA,MERIDA
820,31PDI0073A,CENDI NOEL,DISCONTINUO,INICIAL,177,MERIDA,MERIDA,CALLE 31 680,MERIDA,MERIDA
821,31PDI0074Z,GUARDERIA ROMINA,DISCONTINUO,INICIAL,61,MERIDA,MERIDA,CALLE 64 371 B,MERIDA,MERIDA
822,31DCC0305C,JUUL KIN,MATUTINO,PREESCOLAR,123,MERIDA,MERIDA,CALLE 50,MERIDA,MERIDA
823,31DCC2034O,CHAK PEEPEN,MATUTINO,PREESCOLAR,177,MERIDA,MERIDA,CALLE 64,MERIDA,MERIDA
824,31DJN0001Z,GUSTAVO DIAZ ORDAZ,MATUTINO,PREESCOLAR,190,MERIDA,MERIDA,CALLE 131,MERIDA,MERIDA
825,31DJN0011F,JOSE MARTI,MATUTINO,PREESCOLAR,66,MERIDA,MERIDA,CALLE 7-A 390,MERIDA,MERIDA
826,31DJN0016A,SEGURIDAD PUBLICA,MATUTINO,PREESCOLAR,97,MERIDA,MERIDA,MANZANA 10,MERIDA,MERIDA
827,31DJN0022L,FRANCISCO GABILONDO SOLER,MATUTINO,PREESCOLAR,115,MERIDA,MERIDA,CALLE 50,MERIDA,MERIDA
828,31DJN0030U,LUZ OLIVEROS SARMINA,MATUTINO,PREESCOLAR,19,MERIDA,MERIDA,CALLE 36,MERIDA,MERIDA
829,31DJN0031T,JOSE MONTES DE OCA,MATUTINO,PREESCOLAR,238,MERIDA,MERIDA,CALLE 69,MERIDA,MERIDA
830,31DJN0045W,ROSARIO CASTELLANOS,MATUTINO,PREESCOLAR,53,MERIDA,MERIDA,CALLE 5,MERIDA,MERIDA
831,31DJN0049S,JOAQUIN CEBALLOS MIMENZA,MATUTINO,PREESCOLAR,91,MERIDA,MERIDA,CALLE 53 267,MERIDA,MERIDA
832,31DJN0051G,FRANCISCO DE MONTEJO Y LEON,MATUTINO,PREESCOLAR,128,MERIDA,MERIDA,CALLE 64-B,MERIDA,MERIDA
833,31DJN0055C,UH NAIL CHIICH,MATUTINO,PREESCOLAR,108,MERIDA,MERIDA,CALLE 29-A 302,MERIDA,MERIDA
834,31DJN0056B,ESTADO DE SONORA,MATUTINO,PREESCOLAR,101,MERIDA,MERIDA,CALLE 61 285,MERIDA,MERIDA
835,31DJN0057A,ZAMNA,MATUTINO,PREESCOLAR,149,MERIDA,MERIDA,CALLE 53 241,MERIDA,MERIDA
836,31DJN0058Z,FELIPE CARRILLO PUERTO,MATUTINO,PREESCOLAR,115,MERIDA,MERIDA,CALLE 98 511 C,MERIDA,MERIDA
837,31DJN0059Z,MARIA DOLORES RAMIREZ REGIL,MATUTINO,PREESCOLAR,16,MERIDA,MERIDA,CALLE 31-A 264 A,MERIDA,MERIDA
838,31DJN0060O,GABRIELA MISTRAL,MATUTINO,PREESCOLAR,151,MERIDA,MERIDA,CALLE 104 443 A,MERIDA,MERIDA
839,31DJN0061N,ENRIQUE C REBSAMEN,MATUTINO,PREESCOLAR,176,MERIDA,MERIDA,CALLE 16,MERIDA,MERIDA
840,31DJN0062M,JOSE MA MORELOS Y PAVON,MATUTINO,PREESCOLAR,37,MERIDA,MERIDA,CALLE 6 69,MERIDA,MERIDA
841,31DJN0063L,MANUEL VAZQUEZ FARFAN,MATUTINO,PREESCOLAR,131,MERIDA,MERIDA,CALLE 93 328,MERIDA,MERIDA
842,31DJN0064K,MIGUEL HIDALGO Y COSTILLA,MATUTINO,PREESCOLAR,101,MERIDA,MERIDA,CALLE 20-A,MERIDA,MERIDA
843,31DJN0068G,ROSAURA ZAPATA,MATUTINO,PREESCOLAR,118,MERIDA,MERIDA,CALLE 22 163,MERIDA,MERIDA
844,31DJN0070V,FEDERICO FROEBEL,MATUTINO,PREESCOLAR,66,MERIDA,MERIDA,CALLE 25 203,MERIDA,MERIDA
845,31DJN0071U,MARIA HELENA CHANES,MATUTINO,PREESCOLAR,114,MERIDA,MERIDA,CALLE 3-A 274,MERIDA,MERIDA
846,31DJN0075Q,FERNANDO BARBACHANO PEON,MATUTINO,PREESCOLAR,114,MERIDA,MERIDA,CALLE 34,MERIDA,MERIDA
847,31DJN0077O,IGNACIO ZARAGOZA,MATUTINO,PREESCOLAR,106,MERIDA,MERIDA,CALLE 21-A 82,MERIDA,MERIDA
848,31DJN0078N,ANDREA AGUILAR DE CUEVAS,MATUTINO,PREESCOLAR,151,MERIDA,MERIDA,CALLE 67 900,MERIDA,MERIDA
849,31DJN0080B,RODOLFO MENENDEZ DE LA PEÑA,MATUTINO,PREESCOLAR,102,MERIDA,MERIDA,CALLE 49 571,MERIDA,MERIDA
850,31DJN0088U,ALIANZA DE CAMIONEROS,MATUTINO,PREESCOLAR,108,MERIDA,MERIDA,CALLE 62 588 A,MERIDA,MERIDA
851,31DJN0092G,CONSUELO ZAVALA,MATUTINO,PREESCOLAR,167,MERIDA,MERIDA,CALLE 125 897,MERIDA,MERIDA
852,31DJN0094E,JACINTO CANEK,MATUTINO,PREESCOLAR,163,MERIDA,MERIDA,CALLE 45 519,MERIDA,MERIDA
853,31DJN0098A,AMPARO CARRILLO DE BUENFIL,MATUTINO,PREESCOLAR,90,MERIDA,MERIDA,CALLE 38 477,MERIDA,MERIDA
854,31DJN0126G,LAURENCO FILHO,MATUTINO,PREESCOLAR,155,MERIDA,MERIDA,CALLE 127-B 254,MERIDA,MERIDA
855,31DJN0127F,PEDRO MARIA ANAYA,MATUTINO,PREESCOLAR,229,MERIDA,MERIDA,CALLE 131,MERIDA,MERIDA
856,31DJN0128E,UN MUNDO FELIZ,MATUTINO,PREESCOLAR,142,MERIDA,MERIDA,CALLE 15 346,MERIDA,MERIDA
857,31DJN0129D,MARIANO MATAMOROS,MATUTINO,PREESCOLAR,162,MERIDA,MERIDA,CALLE 22 320,MERIDA,MERIDA
858,31DJN0133Q,JUAN ENRIQUE DUNANT,MATUTINO,PREESCOLAR,18,MERIDA,MERIDA,CALLE 26,MERIDA,MERIDA
859,31DJN0134P,AGUSTIN YAÑEZ,MATUTINO,PREESCOLAR,88,MERIDA,MERIDA,,MERIDA,MERIDA
860,31DJN0153D,EL RUISEÑOR,MATUTINO,PREESCOLAR,25,MERIDA,MERIDA,CALLE 34,MERIDA,MERIDA
861,31DJN0155B,REINO INFANTIL,MATUTINO,PREESCOLAR,123,MERIDA,MERIDA,CALLE 20 248,MERIDA,MERIDA
862,31DJN0168F,IGNACIO MANUEL ALTAMIRANO,MATUTINO,PREESCOLAR,66,MERIDA,MERIDA,CALLE 31 343,MERIDA,MERIDA
863,31DJN0175P,JUAN JACOBO ROUSSEAU,MATUTINO,PREESCOLAR,28,MERIDA,MERIDA,CALLE 10 216,MERIDA,MERIDA
864,31DJN0176O,LUIS ALVAREZ BARRET,MATUTINO,PREESCOLAR,150,MERIDA,MERIDA,CALLE 18,MERIDA,UMAN
865,31DJN0183Y,JUANA CAMARGO ESCALANTE,MATUTINO,PREESCOLAR,130,MERIDA,MERIDA,CALLE 16 621,MERIDA,MERIDA
866,31DJN0184X,JUAN JOSE COELLO RAMIREZ,MATUTINO,PREESCOLAR,176,MERIDA,MERIDA,CALLE 40 543,MERIDA,MERIDA
867,31DJN0185W,ANGELA GONZALEZ DE MENENDEZ,MATUTINO,PREESCOLAR,112,MERIDA,MERIDA,CALLE 109-F,MERIDA,MERIDA
868,31DJN0194D,LAS HORAS FELICES,MATUTINO,PREESCOLAR,140,MERIDA,MERIDA,CALLE 57 824,MERIDA,MERIDA
869,31DJN0195C,ALEJANDRO FLEMING,MATUTINO,PREESCOLAR,143,MERIDA,MERIDA,CALLE 21,MERIDA,MERIDA
870,31DJN0208Q,TUMBEN LOL,MATUTINO,PREESCOLAR,170,MERIDA,MERIDA,CALLE 102,MERIDA,MERIDA
871,31DJN0210E,ICHCAANSIHO,MATUTINO,PREESCOLAR,118,MERIDA,MERIDA,CALLE 132-A,MERIDA,MERIDA
872,31DJN0213B,MEXICO,MATUTINO,PREESCOLAR,148,MERIDA,MERIDA,CALLE 94 728,MERIDA,MERIDA
873,31DJN0214A,ENRIQUE LAUBSCHER,MATUTINO,PREESCOLAR,151,MERIDA,MERIDA,CALLE 48,MERIDA,MERIDA
874,31DJN0215Z,GASPAR ANTONIO XIU,MATUTINO,PREESCOLAR,184,MERIDA,MERIDA,CALLE 133 671,MERIDA,MERIDA
875,31DJN0216Z,JUAN ALDAMA,MATUTINO,PREESCOLAR,23,MERIDA,MERIDA,,MERIDA,MERIDA
876,31DJN0219W,WOLFGANG AMADEUS MOZART,MATUTINO,PREESCOLAR,98,MERIDA,MERIDA,CALLE 59-B 348 A,MERIDA,MERIDA
877,31DJN0220L,CONCEPCION GONZALEZ NARANJO,MATUTINO,PREESCOLAR,147,MERIDA,MERIDA,CALLE 21 DIAGONAL 225,MERIDA,MERIDA
878,31DJN0221K,GERONIMO BAQUEIRO FOSTER,MATUTINO,PREESCOLAR,190,MERIDA,MERIDA,AVENIDA UNIVERSIDAD PEDAGOGICA 565,MERIDA,MERIDA
879,31DJN0223I,FEDERICO GAMBOA,MATUTINO,PREESCOLAR,132,MERIDA,MERIDA,CALLE 19,MERIDA,MERIDA
880,31DJN0225G,UXMAL,MATUTINO,PREESCOLAR,25,MERIDA,MERIDA,,MERIDA,MERIDA
881,31DJN0227E,CHICHEN ITZA,MATUTINO,PREESCOLAR,38,MERIDA,MERIDA,CALLE 5-A 321,MERIDA,MERIDA
882,31DJN0238K,JUAN DE DIOS RODRIGUEZ HEREDIA,MATUTINO,PREESCOLAR,99,MERIDA,MERIDA,CALLE 158,MERIDA,MERIDA
883,31DJN0239J,JESUS REYES HEROLES,MATUTINO,PREESCOLAR,188,MERIDA,MERIDA,CALLE 26-A,MERIDA,UMAN
884,31DJN0242X,JOSE AZUETA,MATUTINO,PREESCOLAR,103,MERIDA,MERIDA,CALLE 57-B,MERIDA,MERIDA
885,31DJN0250F,MARGARITA MAZA DE JUAREZ,MATUTINO,PREESCOLAR,94,MERIDA,MERIDA,CALLE 28,MERIDA,MERIDA
886,31DJN0253C,JESUS MANUEL IBARRA PEIRO,MATUTINO,PREESCOLAR,120,MERIDA,MERIDA,CALLE 87 370,MERIDA,MERIDA
887,31DJN0254B,LA EDAD DE ORO,MATUTINO,PREESCOLAR,105,MERIDA,MERIDA,CALLE 7 515,MERIDA,MERIDA
888,31DJN0256Z,ARCO IRIS,MATUTINO,PREESCOLAR,115,MERIDA,MERIDA,CALLE 30,MERIDA,MERIDA
889,31DJN2001M,AGUSTIN FRANCO AGUILAR,MATUTINO,PREESCOLAR,146,MERIDA,MERIDA,CALLE 17 216,MERIDA,MERIDA
890,31DJN2002L,PLAN DE AYALA,MATUTINO,PREESCOLAR,217,MERIDA,MERIDA,CALLE 8,MERIDA,MERIDA
891,31DJN2004J,SANTIAGO NAVARRO SILVA,MATUTINO,PREESCOLAR,157,MERIDA,MERIDA,CALLE 57 DIAGONAL,MERIDA,MERIDA
892,31DJN2008F,MUNDO INFANTIL,MATUTINO,PREESCOLAR,99,MERIDA,MERIDA,CALLE 40,MERIDA,MERIDA
893,31DJN2009E,NUEVO AMANECER,MATUTINO,PREESCOLAR,167,MERIDA,MERIDA,CALLE 69-B 105,MERIDA,MERIDA
894,31DJN2010U,RAYITOS DE SOL,MATUTINO,PREESCOLAR,204,MERIDA,MERIDA,CALLE 21,MERIDA,MERIDA
895,31DJN2012S,DULCE PRIMAVERA,MATUTINO,PREESCOLAR,158,MERIDA,MERIDA,CALLE 67-A,MERIDA,MERIDA
896,31DJN2014Q,ESTADO DE YUCATAN,MATUTINO,PREESCOLAR,197,MERIDA,MERIDA,CALLE 181,MERIDA,MERIDA
897,31DJN2015P,LUIS DONALDO COLOSIO MURRIETA,MATUTINO,PREESCOLAR,173,MERIDA,MERIDA,CALLE 56,MERIDA,MERIDA
898,31DJN2019L,MAYEL NICTE,MATUTINO,PREESCOLAR,236,MERIDA,MERIDA,CALLE 159,MERIDA,MERIDA
899,31DJN2021Z,ROBERTO CASELLAS RIVAS,MATUTINO,PREESCOLAR,114,MERIDA,MERIDA,CALLE 53-B 369,MERIDA,MERIDA
900,31DJN2024X,PAIDOS,MATUTINO,PREESCOLAR,22,MERIDA,MERIDA,CALLE 41,MERIDA,MERIDA
901,31DJN2028T,DOLORES OTERO MALDONADO,MATUTINO,PREESCOLAR,154,MERIDA,MERIDA,CALLE 34,MERIDA,MERIDA
902,31DJN2031G,JESUS AMARO GAMBOA,MATUTINO,PREESCOLAR,134,MERIDA,MERIDA,CALLE 32 238,MERIDA,MERIDA
903,31DJN2039Z,AGUSTIN FRANCO VILLANUEVA,MATUTINO,PREESCOLAR,144,MERIDA,MERIDA,CALLE 84,MERIDA,MERIDA
904,31DJN2040O,MARIA DEL SOCORRO GRAJALES MARTIN,MATUTINO,PREESCOLAR,89,MERIDA,MERIDA,CALLE 39-A,MERIDA,MERIDA
905,31DJN2046I,MARIO BENEDETTI,MATUTINO,PREESCOLAR,175,MERIDA,MERIDA,CALLE 28-A 396,MERIDA,MERIDA
906,31DJN2047H,ELVIA CARRILLO PUERTO,MATUTINO,PREESCOLAR,190,MERIDA,MERIDA,CALLE 34,MERIDA,MERIDA
907,31DJN2052T,LAS AMERICAS,MATUTINO,PREESCOLAR,148,MERIDA,MERIDA,CALLE 61-A 620,MERIDA,MERIDA
908,31DJN2056P,RICARDO PALMERIN PAVIA,MATUTINO,PREESCOLAR,99,MERIDA,MERIDA,CALLE 65,MERIDA,MERIDA
909,31DJN2057O,NELLY OJEDA FERNANDEZ DE RENDON,MATUTINO,PREESCOLAR,253,MERIDA,MERIDA,CALLE 67 760,MERIDA,MERIDA
910,31DJN2058N,CARLOS CARRILLO VEGA,MATUTINO,PREESCOLAR,255,MERIDA,MERIDA,CALLE 96,MERIDA,MERIDA
911,31DJN2060B,IRMA OJEDA DE MONFORTE,MATUTINO,PREESCOLAR,219,MERIDA,MERIDA,CALLE 46-A,MERIDA,MERIDA
912,31DJN2063Z,MARIA DEL SOCORRO TRINCHAN AGUILAR,MATUTINO,PREESCOLAR,106,MERIDA,MERIDA,CALLE 112,MERIDA,MERIDA
913,31DJN2066W,CARLOS FUENTES,MATUTINO,PREESCOLAR,209,MERIDA,MERIDA,CALLE 39 810,MERIDA,MERIDA
914,31DJN2069T,GABRIEL GARCIA MARQUEZ,MATUTINO,PREESCOLAR,74,MERIDA,MERIDA,CALLE 45-A 393,MERIDA,UMAN
915,31DJN2070I,BEATRIZ PENICHE BARRERA,MATUTINO,PREESCOLAR,44,MERIDA,MERIDA,CALLE 181 DIAGONAL,MERIDA,MERIDA
916,31EJN0001Y,MORELOS,MATUTINO,PREESCOLAR,96,MERIDA,MERIDA,CALLE 15 201,MERIDA,MERIDA
917,31EJN0002X,FIDELIA SANCHEZ,MATUTINO,PREESCOLAR,202,MERIDA,MERIDA,CALLE 17,MERIDA,MERIDA
