FELIPE+CARRILLO+PUERTO,,SAN+PEDRO+CAMARA,MOTUL
CRISTOBAL+COLON,,SAN+PEDRO+CHACABAL,MOTUL
JOSE+MARIA+ITURRALDE+TRACONIS,,TANYA,MOTUL
PRIMARIA+COMUNITARIA,,SANTA+TERESA,MOTUL
PRIMARIA+COMUNITARIA,,KANCABCHEN+UCI,MOTUL
PRIMARIA+COMUNITARIA,,KOMCHEN+MARTINEZ,MOTUL
MIGUEL+HIDALGO+Y+COSTILLA,,SAN+JOSE+HILI,MOTUL
CHICHEN+ITZA,,TIMUL,MOTUL
JOSE+VASCONCELOS,,SACAPUC,MOTUL
JOSE+DE+LA+LUZ+MENA+Y+ALCOCER,,KOPTE,MOTUL
SALVADOR+DIAZ+MIRON,,MESATUNICH,MOTUL
LUIS+ROSADO+VEGA,,SAN+PEDRO+CHACABAL,MOTUL
RAFAEL+RAMIREZ+CASTAÑEDA,,TANYA,MOTUL
PREESCOLAR+COMUNITARIO,,CHOYOB,MUNA
ESCUELA+COMUNITARIA+CONAFE,,SAN+JOSE+TIPCEH,MUNA
PREESCOLAR+COMUNITARIO,,YAXHA,MUNA
JOSE+MONTES+DE+OCA,,MUNA,MUNA
HERMENEGILDO+GALEANA,,SAN+JOSE+TIPCEH,MUNA
CARLOS+ARANA+MEDINA,,YAXHA,MUNA
PREESCOLAR+COMUNITARIO,,SAN+JUAN+KOOP,MUXUPIP
JUSTO+SIERRA+MENDEZ,,SAN+JUAN+KOOP,MUXUPIP
EMILIANO+ZAPATA,,OPICHEN,OPICHEN
JAIME+NUNO,,CALCEHTOK,OPICHEN
JOSE+EUGENIO+CHABLE,,CALCEHTOK,OPICHEN
LAZARO+CARDENAS+DEL+RIO,,CALCEHTOK,OPICHEN
NACHI+COCOM,,EMILIANO+ZAPATA,OXKUTZCAB
PREESCOLAR+COMUNITARIO,,EMILIANO+ZAPATA,OXKUTZCAB
PREESCOLAR+INDIGENA+PAEPI,,X-KOBENHALTUN,OXKUTZCAB
PREESCOLAR+INDIGENA+PAEPI,,SAHCAHMUCUY,OXKUTZCAB
PONCIANO+ARRIAGA,,XOHUAYAN,OXKUTZCAB
CUAUHTEMOC,,XUL,OXKUTZCAB
NETZAHUALCOYOTL,,YAXHACHEN,OXKUTZCAB
PREESCOLAR+INDIGENA+PAEPI,,BOMBAHALTUN,OXKUTZCAB
PREESCOLAR+COMUNITARIO,,SAN+ANTONIO+YAAXHOM,OXKUTZCAB
PREESCOLAR+COMUNITARIO,,SAN+SALVADOR,OXKUTZCAB
NIÑO+ARTILLERO,,OXKUTZCAB,OXKUTZCAB
ANTONIO+MEDIZ+BOLIO,,EMILIANO+ZAPATA,OXKUTZCAB
ESCUELA+CONAFE,,EMILIANO+ZAPATA,OXKUTZCAB
PRIMARIA+INDIGENA+PAEPI,,X-KOBENHALTUN,OXKUTZCAB
PRIMARIA+INDIGENA+PAEPI,,SAHCAHMUCUY,OXKUTZCAB
ANDRES+QUINTANA+ROO,,XOHUAYAN,OXKUTZCAB
MANUEL+ALCALA+MARTIN,,XUL,OXKUTZCAB
JUSTO+SIERRA+MENDEZ,,YAXHACHEN,OXKUTZCAB
PRIMARIA+INDIGENA+PAEPI,,BOMBAHALTUN,OXKUTZCAB
ESCUELA+COMUNITARIA+CONAFE,,SAN+ANTONIO+YAAXHOM,OXKUTZCAB
PRIMARIA+COMUNITARIA,,SAN+SALVADOR,OXKUTZCAB
SALVADOR+NOVO,,XOHUAYAN,OXKUTZCAB
IGNACIO+ALLENDE,,YAXHACHEN,OXKUTZCAB
SECUNDARIA+COMUNITARIA,,BOMBAHALTUN,OXKUTZCAB
SECUNDARIA+COMUNITARIA,,SAN+ANTONIO+YAAXHOM,OXKUTZCAB
AQUILES+SERDAN,,LOCHE,PANABA
PREESCOLAR+COMUNITARIO,,SAN+JUAN+DEL+RIO,PANABA
CECILIO+CHI,,CENOTE+YALSIHON+BUENA+FE,PANABA
PREESCOLAR+COMUNITARIO,,SAN+FRANCISCO,PANABA
PRIMARIA+COMUNITARIA,,SAN+JUAN+DEL+RIO,PANABA
EMILIANO+ZAPATA,,CENOTE+YALSIHON+BUENA+FE,PANABA
RICARDO+FLORES+MAGON,,SAN+FRANCISCO,PANABA
SECUNDARIA+COMUNITARIA,,SAN+JUAN+DEL+RIO,PANABA
PREESCOLAR+COMUNITARIO,,CHAN+CALOTMUL,PETO
CUITLAHUAC,,PAPACAL,PETO
NARCISO+BASSOLS,,SAN+DIONISIO,PETO
PREESCOLAR+COMUNITARIO,,SAN+SEBASTIAN,PETO
BENITO+JUAREZ+GARCIA,,TEMOZON,PETO
ANASTASIO+BUSTAMANTE,,TIXHUALATUN,PETO
PREESCOLAR+COMUNITARIO,,KAMBUL,PETO
ADOLFO+LOPEZ+MATEOS,,XOY,PETO
PREESCOLAR+COMUNITARIO,,X-PECHIL,PETO
MANUEL+AVILA+CAMACHO,,YAXCOPIL,PETO
PREESCOLAR+COMUNITARIO,,LA+ESPERANZA,PETO
ESCUELA+COMUNITARIA+CONAFE,,JUSTICIA+SOCIAL,PETO
PREESCOLAR+INDIGENA+PAEPI,,SAN+FRANCISCO,PETO
JARDIN+COMUNITARIO,,SAN+SEBASTIAN+YAXCHE,PETO
PRIMARIA+COMUNITARIA,,CHAN+CALOTMUL,PETO
LAZARO+CARDENAS+DEL+RIO,,DZONOTCHEL,PETO
IGNACIO+ZARAGOZA,,PAPACAL,PETO
SIMON+BOLIVAR,,PETULILLO,PETO
JUAN+ALDAMA,,PROGRESITO,PETO
IGNACIO+ALLENDE,,SAN+DIONISIO,PETO
PRIMARIA+COMUNITARIA,,SAN+SEBASTIAN,PETO
LEOPOLDO+AGUILAR+ROCA,,TEMOZON,PETO
FERNANDO+XIMELLO,,TIXHUALATUN,PETO
NIÑOS+HEROES,,KAMBUL,PETO
CRESCENCIO+REJON,,X-PECHIL,PETO
PRIMARIA+COMUNITARIA,,LA+ESPERANZA,PETO
JUSTICIA+SOCIAL,,JUSTICIA+SOCIAL,PETO
PRIMARIA+COMUNITARIA,,SAN+SEBASTIAN+YAXCHE,PETO
MANUEL+ANTONIO+AY,,PAPACAL,PETO
SECUNDARIA+COMUNITARIA,,PETULILLO,PETO
TELESECUNDARIA+NUM.+126,,PROGRESITO,PETO
SECUNDARIA+COMUNITARIA,,SAN+DIONISIO,PETO
MANUEL+ALCALA+MARTIN,,TIXHUALATUN,PETO
RUFINO+CHI+CANUL,,XOY,PETO
DZIBICHALTUN,,SAN+IGNACIO,PROGRESO
PREESCOLAR+COMUNITARIO,,EL+PARAISO,PROGRESO
AQUILES+SERDAN,,SAN+IGNACIO,PROGRESO
FELIPE+CARRILLO+PUERTO,,EL+PARAISO,PROGRESO
VENUSTIANO+CARRANZA,,CHELEM,PROGRESO
GUADALUPE+VICTORIA,,CHUBURNA,PROGRESO
NETZAHUALCOYOTL,,SAN+IGNACIO,PROGRESO
MARGARITA+MAZA+DE+JUAREZ,,LAS+COLORADAS,RIO+LAGARTOS
JARDIN+COMUNITARIO,,SAN+ANTONIO+SODZIL,SACALUM
PREESCOLAR+COMUNITARIO,,YUNKU,SACALUM
PREESCOLAR+COMUNITARIO,,PLAN+CHAC,SACALUM
JUSTO+SIERRA+MENDEZ,,SAN+ANTONIO+SODZIL,SACALUM
MIGUEL+HIDALGO+Y+COSTILLA,,YUNKU,SACALUM
SANTIAGO+PACHECO+CRUZ,,SAN+ANTONIO+SODZIL,SACALUM
EMILIO+PORTES+GIL,,KUCHEL,SAMAHIL
MANUEL+AVILA+CAMACHO,,SAN+ANTONIO+TEDZIDZ,SAMAHIL
SALVADOR+DIAZ+MIRON,,KUCHEL,SAMAHIL
LIBERTAD,,SAN+ANTONIO+TEDZIDZ,SAMAHIL
AQUILES+SERDAN,,KUCHEL,SAMAHIL
ESCUELA+SECUNDARIA+TECNICA+NUM.+48,,SAN+ANTONIO+TEDZIDZ,SAMAHIL
MARIA+MONTESSORI,,SAN+SIMON,SANTA+ELENA
18+DE+MARZO,,SAN+SIMON,SANTA+ELENA
VICENTE+GUERRERO,,SAN+SIMON,SANTA+ELENA
PREESCOLAR+COMUNITARIO,,SAN+BERNARDINO,SEYE
KUKUL+CAN,,HOLACTUN,SEYE
JUSTO+SIERRA+MENDEZ,,SEYE,SEYE
JOSE+MARIA+MORELOS+Y+PAVON,,SAN+BERNARDINO,SEYE
CARLOS+CASARES+PEREZ,,HOLACTUN,SEYE
ESCUELA+COMUNITARIA+CONAFE,,SAN+BERNARDINO,SEYE
AMPARO+CARRILLO,,HOLACTUN,SEYE
JAIME+TORRES+BODET,,SAN+CRISANTO,SINANCHE
BENITO+JUAREZ+GARCIA,,SAN+CRISANTO,SINANCHE
JOSE+DEMETRIO+RIVERO+NAVARRETE,,SAN+CRISANTO,SINANCHE
CECILIO+CHI,,TABI,SOTUTA
MARIA+MONTESSORI,,TIBOLON,SOTUTA
YAM+BEH,,ZAVALA,SOTUTA
JOSE+MARIA+MORELOS+Y+PAVON,,TABI,SOTUTA
LORENZO+DE+ZAVALA,,ZAVALA,SOTUTA
MAURO+MONFORTE+MENA,,SUCILA,SUCILA
PREESCOLAR+COMUNITARIO,,CHUMBEC,SUDZAL
PREESCOLAR+COMUNITARIO,,NUEVO+TZALAM,SUDZAL
FRANCISCO+I.+MADERO,,CHUMBEC,SUDZAL
PRIMARIA+COMUNITARIA,,KANCABCHEN+DE+VALENCIA,SUDZAL
PRIMARIA+COMUNITARIA,,NUEVO+TZALAM,SUDZAL
PREESCOLAR+INDIGENA+PAEPI,,TAHDZIU,TAHDZIU
PREESCOLAR+INDIGENA+PAEPI,,SAN+LORENZO,TAHDZIU
LEONA+VICARIO,,TIMUL,TAHDZIU
PREESCOLAR+INDIGENA+PAEPI,,SAN+ISIDRO+UNO,TAHDZIU
JUANA+DE+ASBAJE,,TAHDZIU,TAHDZIU
PRIMARIA+INDIGENA+PAEPI,,SAN+LORENZO,TAHDZIU
MIGUEL+HIDALGO+Y+COSTILLA,,TIMUL,TAHDZIU
PRIMARIA+INDIGENA+PAEPI,,SAN+ISIDRO+UNO,TAHDZIU
ESCUELA+TELESECUNDARIA,,TIMUL,TAHDZIU
PREESCOLAR+COMUNITARIO,,CHINKILA,TECOH
GUILLERMO+PRIETO,,ITZINCAB,TECOH
JACINTO+CANEK,,LEPAN,TECOH
CHICHEN+ITZA,,MAHZUCIL,TECOH
NIÑOS+HEROES,,OXTAPACAB,TECOH
FRANCISCO+I.+MADERO,,PIXYA,TECOH
PREESCOLAR+COMUNITARIO,,SABACCHE,TECOH
PREESCOLAR+COMUNITARIO,,SOTUTA+DE+PEON,TECOH
LOL+TUN,,X-KANCHAKAN,TECOH
PATRIA,,CHINKILA,TECOH
SALVADOR+ALVARADO,,ITZINCAB,TECOH
ELOISA+GUEMEZ+DE+E,,LEPAN,TECOH
FRANCISCO+SOLIS+CAMARA,,MAHZUCIL,TECOH
JUAN+BERZUNZA+GARCIA,,OXTAPACAB,TECOH
HEROES+DE+MEXICO,,PIXYA,TECOH
BENITO+JUAREZ+GARCIA,,SABACCHE,TECOH
JUSTO+SIERRA+MENDEZ,,SOTUTA+DE+PEON,TECOH
EMILIANO+ZAPATA,,X-KANCHAKAN,TECOH
VICENTE+SOLIS+CAMARA,,X-KANCHAKAN,TECOH
SECUNDARIA+COMUNITARIA,,CHINKILA,TECOH
MAYAPAN,,LEPAN,TECOH
JUAN+GARCIA+PONCE,,PIXYA,TECOH
FRANCISCO+I.+MADERO,,X-KANCHAKAN,TECOH
PREESCOLAR+COMUNITARIO,,SAN+DIEGO,TEKANTO
PREESCOLAR+COMUNITARIO,,SAN+FRANCISCO+DZON,TEKANTO
