ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
762	31DES2019V	ELADIO NOVELO GIL	CALLE 14 79	MAXCANU	MAXCANU
763	31DST0005X	ESCUELA SECUNDARIA TECNICA NUM. 5	CALLE 25	MAXCANU	MAXCANU
764	31ETV0079A	LAS AMERICAS		COAHUILA (SANTA TERESA COAHUILA)	MAXCANU
765	31ETV0155Q	ALFREDO BARRERA VASQUEZ		CHAN CHOCHOLA (SANTA EDUVIGES CHAN CHOCHOLA)	MAXCANU
766	31ETV0002M	FELIPE CARRILLO PUERTO		CHUNCHUCMIL	MAXCANU
767	31ETV0139Z	ALFONSO HERRERA CRUZ		KOCHOL	MAXCANU
768	31ETV0017O	VALENTIN GOMEZ FARIAS		PARAISO	MAXCANU
769	31ETV0147H	GONZALO CAMARA ZAVALA		SAN RAFAEL	MAXCANU
770	31ETV0018N	PLUTARCO ELIAS CALLES		SANTO DOMINGO	MAXCANU
771	31DCC0153O	ITZ CAAN	CALLE 24	MAYAPAN	MAYAPAN
772	31DPB2032V	ORENCIO ITZA	CALLE 23	MAYAPAN	MAYAPAN
773	31DPR1016Y	CRISTOBAL COLON	CALLE 20	MAYAPAN	MAYAPAN
774	31DPR2088Y	JOSE VASCONCELOS	CALLE 20	MAYAPAN	MAYAPAN
775	31EES0115J	SANTIAGO PACHECO CRUZ	CALLE 20	MAYAPAN	MAYAPAN
776	31DDI0001C	DOLORES OTERO MALDONADO	CALLE 57-D	MERIDA	MERIDA
777	31DDI0002B	CENTRO DE DESARROLLO INFANTIL NUM. 3	CALLE ANTIGUA CARRETERA A CHUBURNA	MERIDA	MERIDA
778	31DDI0003A	FELIPA POOT	CALLE ANTIGUA CARRETERA A CHUBURNA	MERIDA	MERIDA
779	31DDI0004Z	CARLOS CARRILLO VEGA	CALLE 96	MERIDA	MERIDA
780	31DDI0006Y	CONSUELO ZAVALA CASTILLO	CALLE 49-D	MERIDA	MERIDA
781	31EDI0001B	JUANA FIGUEROA	CALLE 16	MERIDA	MERIDA
782	31EDI1001I	LINA LOPEZ DE ESQUIVEL	CALLE 16 310	MERIDA	MERIDA
783	31EDI1002H	OLGA MANZANO	CALLE 44 500	MERIDA	MERIDA
784	31EDI1003G	ELVIA CARRILLO	CALLE 75	MERIDA	MERIDA
785	31EDI1004F	CORDEMEX	CALLE 49	MERIDA	MERIDA
786	31EDI1005E	CARMEN GOMEZ RUL	CALLE 117	MERIDA	MERIDA
787	31EDI1006D	JULIA PEON	CALLE 54 554	MERIDA	MERIDA
788	31EDI1007C	ROSA TORRES	CALLE 22	MERIDA	MERIDA
789	31PDI0004E	HEIDI	CALLE 14 88	MERIDA	MERIDA
790	31PDI0005D	PRINCIPITOS	CALLE 26 121	MERIDA	MERIDA
791	31PDI0023T	MI SEGUNDO HOGAR	CALLE 26 254	MERIDA	MERIDA
792	31PDI0024S	CENTRO EDUCATIVO RENACIMIENTO	CALLE 33 468	MERIDA	MERIDA
793	31PDI0037W	CENDI Y JARDIN EL MUNDO DE LOS NIÑOS	CALLE 23-A 323	MERIDA	MERIDA
794	31PDI0038V	GUARDERIA ATENEO DE MERIDA	CALLE 32 151	MERIDA	MERIDA
795	31PDI0039U	GVC CENTRO UNIVERSAL PARA NIÑOS ACTIVOS Y SOCIALES 036	CALLE 25	MERIDA	MERIDA
796	31PDI0040J	GVC NUM. 115 CENTRO DE DESARROLLO INFANTIL LOS PAYASOS	CALLE 56-A AVENIDA CAMPO DEPORTIVO 307	MERIDA	MERIDA
797	31PDI0041I	GVC EDUCACION ACTIVA E INTEGRAL 118	CALLE 19	MERIDA	MERIDA
798	31PDI0043G	GVC GUARDERIA Y KINDER MONTESSORI ITZIMNA 144	CALLE 27-A 487	MERIDA	MERIDA
799	31PDI0046D	GVC CENTRO DE ENSEÑANZA ROSADO PEREZ	CALLE 50 279	MERIDA	MERIDA
800	31PDI0047C	GVC GUARDERIAS DEL MAYAB LOS PERIQUITOS	CALLE 67 203 E	MERIDA	MERIDA
801	31PDI0049A	CENDI MONTE LIBANO NUM. 186	CALLE 54 493	MERIDA	MERIDA
802	31PDI0050Q	GUARDERIA VECINAL COMUNITARIA NUM. 689	CALLE 60 485	MERIDA	MERIDA
803	31PDI0051P	GUARDERIA ORDINARIA 001 INSTITUTO MEXICANO DEL SEGURO SOCIAL	CALLE 65 403 A	MERIDA	MERIDA
804	31PDI0052O	GUARDERIA PARTICIPATIVA NUM. 087 MARCELO CANTO ESPARZA	CALLE 15-C 193 A	MERIDA	MERIDA
805	31PDI0055L	GUARDERIA PARTICIPATIVA NUM. 112 MARCELO CANTO ESPARZA	CALLE 61 680	MERIDA	MERIDA
806	31PDI0056K	GUARDERIA PARTICIPATIVA DE COMERCIO	AVENIDA CUPULES 83 A	MERIDA	MERIDA
807	31PDI0057J	GUARDERIA CAMARA DE COMERCIO	CALLE 35-A 401	MERIDA	MERIDA
808	31PDI0058I	GUARDERIA PARTICIPATIVA NUM. 214 CANACINTRA DELEGACION YUCATAN	CALLE 21 444	MERIDA	MERIDA
809	31PDI0059H	CENTRO BANCARIO DE DESARROLLO DE LA NIÑEZ-U-747	CALLE 37 353	MERIDA	MERIDA
810	31PDI0060X	GUARDERIA PARTICIPATIVA CAMARA DE COMERCIO DE MERIDA	CALLE 97-D 710	MERIDA	MERIDA
811	31PDI0061W	GUARDERIA PARTICIPATIVA NUM. 263 CANACINTRA DELEGACION YUCATAN	CALLE 59 839	MERIDA	MERIDA
812	31PDI0063U	GUARDERIA PARTICIPATIVA NUM. 326 SERVICIOS DE GUARDERIA A LA NIÑEZ CAN	CALLE 24 188 B	MERIDA	MERIDA
813	31PDI0066R	CENTRO EDUCATIVO PEQUEMUNDO	CALLE 21 DIAGONAL 374	MERIDA	MERIDA
814	31PDI0067Q	CONSORCIO EDUCATIVO DEL MAYAB GVU-1359	CALLE 26 266	MERIDA	MERIDA
815	31PDI0068P	CONSORCIO EDUCATIVO DEL MAYAB BVU-1344	CALLE 7 365	MERIDA	MERIDA
816	31PDI0069O	ENFANT	CALLE 19 78	MERIDA	MERIDA
817	31PDI0070D	CENTRO EDUCATIVO ITZIMNA	CALLE 11 203	MERIDA	MERIDA
818	31PDI0071C	CENTRO EDUCATIVO SALVADOR ALVARADO ORIENTE	CALLE 38 559	MERIDA	MERIDA
819	31PDI0072B	CENTRO DE DESARROLLO INFANTIL DE MERIDA	CALLE 53 488	MERIDA	MERIDA
820	31PDI0073A	CENDI NOEL	CALLE 31 680	MERIDA	MERIDA
821	31PDI0074Z	GUARDERIA ROMINA	CALLE 64 371 B	MERIDA	MERIDA
822	31DCC0305C	JUUL KIN	CALLE 50	MERIDA	MERIDA
823	31DCC2034O	CHAK PEEPEN	CALLE 64	MERIDA	MERIDA
824	31DJN0001Z	GUSTAVO DIAZ ORDAZ	CALLE 131	MERIDA	MERIDA
825	31DJN0011F	JOSE MARTI	CALLE 7-A 390	MERIDA	MERIDA
826	31DJN0016A	SEGURIDAD PUBLICA	MANZANA 10	MERIDA	MERIDA
827	31DJN0022L	FRANCISCO GABILONDO SOLER	CALLE 50	MERIDA	MERIDA
828	31DJN0030U	LUZ OLIVEROS SARMINA	CALLE 36	MERIDA	MERIDA
829	31DJN0031T	JOSE MONTES DE OCA	CALLE 69	MERIDA	MERIDA
830	31DJN0045W	ROSARIO CASTELLANOS	CALLE 5	MERIDA	MERIDA
831	31DJN0049S	JOAQUIN CEBALLOS MIMENZA	CALLE 53 267	MERIDA	MERIDA
832	31DJN0051G	FRANCISCO DE MONTEJO Y LEON	CALLE 64-B	MERIDA	MERIDA
833	31DJN0055C	UH NAIL CHIICH	CALLE 29-A 302	MERIDA	MERIDA
834	31DJN0056B	ESTADO DE SONORA	CALLE 61 285	MERIDA	MERIDA
835	31DJN0057A	ZAMNA	CALLE 53 241	MERIDA	MERIDA
836	31DJN0058Z	FELIPE CARRILLO PUERTO	CALLE 98 511 C	MERIDA	MERIDA
837	31DJN0059Z	MARIA DOLORES RAMIREZ REGIL	CALLE 31-A 264 A	MERIDA	MERIDA
838	31DJN0060O	GABRIELA MISTRAL	CALLE 104 443 A	MERIDA	MERIDA
839	31DJN0061N	ENRIQUE C REBSAMEN	CALLE 16	MERIDA	MERIDA
840	31DJN0062M	JOSE MA MORELOS Y PAVON	CALLE 6 69	MERIDA	MERIDA
841	31DJN0063L	MANUEL VAZQUEZ FARFAN	CALLE 93 328	MERIDA	MERIDA
842	31DJN0064K	MIGUEL HIDALGO Y COSTILLA	CALLE 20-A	MERIDA	MERIDA
843	31DJN0068G	ROSAURA ZAPATA	CALLE 22 163	MERIDA	MERIDA
844	31DJN0070V	FEDERICO FROEBEL	CALLE 25 203	MERIDA	MERIDA
845	31DJN0071U	MARIA HELENA CHANES	CALLE 3-A 274	MERIDA	MERIDA
846	31DJN0075Q	FERNANDO BARBACHANO PEON	CALLE 34	MERIDA	MERIDA
847	31DJN0077O	IGNACIO ZARAGOZA	CALLE 21-A 82	MERIDA	MERIDA
848	31DJN0078N	ANDREA AGUILAR DE CUEVAS	CALLE 67 900	MERIDA	MERIDA
849	31DJN0080B	RODOLFO MENENDEZ DE LA PEÑA	CALLE 49 571	MERIDA	MERIDA
850	31DJN0088U	ALIANZA DE CAMIONEROS	CALLE 62 588 A	MERIDA	MERIDA
851	31DJN0092G	CONSUELO ZAVALA	CALLE 125 897	MERIDA	MERIDA
852	31DJN0094E	JACINTO CANEK	CALLE 45 519	MERIDA	MERIDA
853	31DJN0098A	AMPARO CARRILLO DE BUENFIL	CALLE 38 477	MERIDA	MERIDA
854	31DJN0126G	LAURENCO FILHO	CALLE 127-B 254	MERIDA	MERIDA
855	31DJN0127F	PEDRO MARIA ANAYA	CALLE 131	MERIDA	MERIDA
856	31DJN0128E	UN MUNDO FELIZ	CALLE 15 346	MERIDA	MERIDA
857	31DJN0129D	MARIANO MATAMOROS	CALLE 22 320	MERIDA	MERIDA
858	31DJN0133Q	JUAN ENRIQUE DUNANT	CALLE 26	MERIDA	MERIDA
859	31DJN0134P	AGUSTIN YAÑEZ		MERIDA	MERIDA
860	31DJN0153D	EL RUISEÑOR	CALLE 34	MERIDA	MERIDA
861	31DJN0155B	REINO INFANTIL	CALLE 20 248	MERIDA	MERIDA
862	31DJN0168F	IGNACIO MANUEL ALTAMIRANO	CALLE 31 343	MERIDA	MERIDA
863	31DJN0175P	JUAN JACOBO ROUSSEAU	CALLE 10 216	MERIDA	MERIDA
864	31DJN0176O	LUIS ALVAREZ BARRET	CALLE 18	MERIDA	MERIDA
865	31DJN0183Y	JUANA CAMARGO ESCALANTE	CALLE 16 621	MERIDA	MERIDA
866	31DJN0184X	JUAN JOSE COELLO RAMIREZ	CALLE 40 543	MERIDA	MERIDA
867	31DJN0185W	ANGELA GONZALEZ DE MENENDEZ	CALLE 109-F	MERIDA	MERIDA
868	31DJN0194D	LAS HORAS FELICES	CALLE 57 824	MERIDA	MERIDA
869	31DJN0195C	ALEJANDRO FLEMING	CALLE 21	MERIDA	MERIDA
870	31DJN0208Q	TUMBEN LOL	CALLE 102	MERIDA	MERIDA
871	31DJN0210E	ICHCAANSIHO	CALLE 132-A	MERIDA	MERIDA
872	31DJN0213B	MEXICO	CALLE 94 728	MERIDA	MERIDA
873	31DJN0214A	ENRIQUE LAUBSCHER	CALLE 48	MERIDA	MERIDA
874	31DJN0215Z	GASPAR ANTONIO XIU	CALLE 133 671	MERIDA	MERIDA
875	31DJN0216Z	JUAN ALDAMA		MERIDA	MERIDA
876	31DJN0219W	WOLFGANG AMADEUS MOZART	CALLE 59-B 348 A	MERIDA	MERIDA
877	31DJN0220L	CONCEPCION GONZALEZ NARANJO	CALLE 21 DIAGONAL 225	MERIDA	MERIDA
878	31DJN0221K	GERONIMO BAQUEIRO FOSTER	AVENIDA UNIVERSIDAD PEDAGOGICA 565	MERIDA	MERIDA
879	31DJN0223I	FEDERICO GAMBOA	CALLE 19	MERIDA	MERIDA
880	31DJN0225G	UXMAL		MERIDA	MERIDA
881	31DJN0227E	CHICHEN ITZA	CALLE 5-A 321	MERIDA	MERIDA
882	31DJN0238K	JUAN DE DIOS RODRIGUEZ HEREDIA	CALLE 158	MERIDA	MERIDA
883	31DJN0239J	JESUS REYES HEROLES	CALLE 26-A	MERIDA	MERIDA
884	31DJN0242X	JOSE AZUETA	CALLE 57-B	MERIDA	MERIDA
885	31DJN0250F	MARGARITA MAZA DE JUAREZ	CALLE 28	MERIDA	MERIDA
886	31DJN0253C	JESUS MANUEL IBARRA PEIRO	CALLE 87 370	MERIDA	MERIDA
887	31DJN0254B	LA EDAD DE ORO	CALLE 7 515	MERIDA	MERIDA
888	31DJN0256Z	ARCO IRIS	CALLE 30	MERIDA	MERIDA
889	31DJN2001M	AGUSTIN FRANCO AGUILAR	CALLE 17 216	MERIDA	MERIDA
890	31DJN2002L	PLAN DE AYALA	CALLE 8	MERIDA	MERIDA
891	31DJN2004J	SANTIAGO NAVARRO SILVA	CALLE 57 DIAGONAL	MERIDA	MERIDA
892	31DJN2008F	MUNDO INFANTIL	CALLE 40	MERIDA	MERIDA
893	31DJN2009E	NUEVO AMANECER	CALLE 69-B 105	MERIDA	MERIDA
894	31DJN2010U	RAYITOS DE SOL	CALLE 21	MERIDA	MERIDA
895	31DJN2012S	DULCE PRIMAVERA	CALLE 67-A	MERIDA	MERIDA
896	31DJN2014Q	ESTADO DE YUCATAN	CALLE 181	MERIDA	MERIDA
897	31DJN2015P	LUIS DONALDO COLOSIO MURRIETA	CALLE 56	MERIDA	MERIDA
898	31DJN2019L	MAYEL NICTE	CALLE 159	MERIDA	MERIDA
899	31DJN2021Z	ROBERTO CASELLAS RIVAS	CALLE 53-B 369	MERIDA	MERIDA
900	31DJN2024X	PAIDOS	CALLE 41	MERIDA	MERIDA
901	31DJN2028T	DOLORES OTERO MALDONADO	CALLE 34	MERIDA	MERIDA
902	31DJN2031G	JESUS AMARO GAMBOA	CALLE 32 238	MERIDA	MERIDA
903	31DJN2039Z	AGUSTIN FRANCO VILLANUEVA	CALLE 84	MERIDA	MERIDA
904	31DJN2040O	MARIA DEL SOCORRO GRAJALES MARTIN	CALLE 39-A	MERIDA	MERIDA
905	31DJN2046I	MARIO BENEDETTI	CALLE 28-A 396	MERIDA	MERIDA
906	31DJN2047H	ELVIA CARRILLO PUERTO	CALLE 34	MERIDA	MERIDA
907	31DJN2052T	LAS AMERICAS	CALLE 61-A 620	MERIDA	MERIDA
908	31DJN2056P	RICARDO PALMERIN PAVIA	CALLE 65	MERIDA	MERIDA
909	31DJN2057O	NELLY OJEDA FERNANDEZ DE RENDON	CALLE 67 760	MERIDA	MERIDA
910	31DJN2058N	CARLOS CARRILLO VEGA	CALLE 96	MERIDA	MERIDA
911	31DJN2060B	IRMA OJEDA DE MONFORTE	CALLE 46-A	MERIDA	MERIDA
912	31DJN2063Z	MARIA DEL SOCORRO TRINCHAN AGUILAR	CALLE 112	MERIDA	MERIDA
913	31DJN2066W	CARLOS FUENTES	CALLE 39 810	MERIDA	MERIDA
914	31DJN2069T	GABRIEL GARCIA MARQUEZ	CALLE 45-A 393	MERIDA	MERIDA
915	31DJN2070I	BEATRIZ PENICHE BARRERA	CALLE 181 DIAGONAL	MERIDA	MERIDA
916	31EJN0001Y	MORELOS	CALLE 15 201	MERIDA	MERIDA
917	31EJN0002X	FIDELIA SANCHEZ	CALLE 17	MERIDA	MERIDA
918	31EJN0003W	LORENZO FILHO	CALLE 107	MERIDA	MERIDA
919	31EJN0004V	VICENTE GUERRERO	CALLE 81-A	MERIDA	MERIDA
920	31EJN0005U	FIDEL VELAZQUEZ	CALLE 34 150	MERIDA	MERIDA
921	31EJN0006T	JULIA MARTIN ALONZO	CALLE 17 93	MERIDA	MERIDA
922	31EJN0007S	CONCEPCION CASTRO ANDRADE	CALLE 11 2	MERIDA	MERIDA
923	31EJN0008R	ISOLINA ROSADO DE GRAHAM	CALLE 46 900	MERIDA	MERIDA
924	31EJN0009Q	NELLY SANSORES	CALLE 122	MERIDA	MERIDA
925	31EJN0012D	DOMINGA CANTO PASTRANA	CALLE 39-A 328	MERIDA	MERIDA
926	31EJN0013C	FLORINDA BATISTA ESPINOLA	CALLE 41 499	MERIDA	MERIDA
927	31EJN0014B	CARLOS CASTRO MORALES	CALLE 80 490	MERIDA	MERIDA
928	31EJN0015A	MARIA ANTONIA ANCONA	CALLE 75 542	MERIDA	MERIDA
929	31EJN0016Z	ANDRES QUINTANA ROO	CALLE 77 614	MERIDA	MERIDA
930	31EJN0017Z	DISTRITO FEDERAL	CALLE 57 466 A	MERIDA	MERIDA
931	31EJN0018Y	MANUEL SARRADO	CALLE 20	MERIDA	MERIDA
932	31EJN0019X	CARMELA COSGAYA RIVAS	CALLE 51	MERIDA	MERIDA
933	31EJN0020M	AMPARO CARRILLO DE BUENFIL	CALLE 60 714 C	MERIDA	MERIDA
934	31EJN0021L	NICOLAS BRAVO	CALLE 59 566	MERIDA	MERIDA
935	31EJN0025H	MIGUEL CERVANTES SAAVEDRA	CALLE 108	MERIDA	MERIDA
936	31EJN0028E	PATRIA	CALLE 65 434	MERIDA	MERIDA
937	31EJN0029D	ZAZIL BE	CALLE 31-B	MERIDA	MERIDA
938	31EJN0030T	NIÑOS HEROES	CALLE 18 89	MERIDA	MERIDA
939	31EJN0035O	MARIA CURIE	CALLE 115	MERIDA	MERIDA
940	31EJN0037M	BENITO JUAREZ GARCIA	CALLE 8	MERIDA	MERIDA
941	31EJN0038L	FELIPE CARRILLO PUERTO	AVENIDA COLON	MERIDA	MERIDA
942	31EJN0043X	FRANCISCO I. MADERO	CALLE 65 695	MERIDA	MERIDA
943	31EJN0050G	LUIS PENICHE VALLADO	CALLE 47	MERIDA	MERIDA
944	31EJN0054C	MARIA LAVALLE URBINA	CALLE 138 503	MERIDA	MERIDA
945	31EJN0060N	SAC NICTE	CALLE 39	MERIDA	MERIDA
946	31EJN0062L	ELDA MARGARITA AGUILAR LLANES	CALLE 64-J 571	MERIDA	MERIDA
947	31EJN0064J	ROBY NAIM GUETTA	CALLE 19	MERIDA	MERIDA
948	31EJN0065I	SOLIDARIDAD	CALLE 10 618	MERIDA	MERIDA
949	31EJN0066H	FRANCISCO GONZALEZ BOCANEGRA	CALLE 23	MERIDA	MERIDA
950	31EJN0067G	FRANCISCO GABILONDO SOLER	CALLE 71 304	MERIDA	MERIDA
951	31EJN0068F	FEDERACION DE TRABAJADORES DEL ESTADO DE YUCATAN	CALLE 33 371 A	MERIDA	MERIDA
952	31EJN0069E	LOL-HA	CALLE 15 549	MERIDA	MERIDA
953	31EJN0071T	JACINTO CANEK	CALLE 62	MERIDA	MERIDA
954	31EJN0074Q	MEXICO	CALLE 30-B	MERIDA	MERIDA
955	31EJN0075P	FRANCISCO DE MONTEJO EL MOZO	CALLE 57 332	MERIDA	MERIDA
956	31EJN0076O	ESTEFANIA CASTAÑEDA	CALLE 116	MERIDA	MERIDA
957	31EJN0080A	GONZALO NAVARRO BAEZ	CALLE 14	MERIDA	MERIDA
958	31EJN0083Y	DIANA LAURA RIOJAS DE COLOSIO	CALLE 4-D	MERIDA	MERIDA
959	31EJN0085W	ELVIA MAGANDA AVILA	CALLE NIGUNO	MERIDA	MERIDA
960	31EJN0086V	SOR JUANA INES DE LA CRUZ	CALLE 30	MERIDA	MERIDA
961	31KJN0392N	ESCUELA COMUNITARIA CONAFE	CALLE PERIFERICO PONIENTE 722	MERIDA	MERIDA
962	31NJN0017G	ALUXES DEL MAYAB ISSSTE	CALLE 61 537	MERIDA	MERIDA
963	31NJN0019E	ALITZEL	CALLE 15 100 B	MERIDA	MERIDA
964	31PJN0002C	JARDIN DE NIÑOS ANGELES	CALLE 38 45	MERIDA	MERIDA
965	31PJN0006Z	LUCRECIA VADILLO RIVAS	CALLE 56-A 444	MERIDA	MERIDA
966	31PJN0009W	VICENTE GUERRERO	CALLE 57 556	MERIDA	MERIDA
967	31PJN0012J	EL CARRUSEL DE MERIDA	CALLE 23 209	MERIDA	MERIDA
968	31PJN0018D	JARDINES	CALLE 23 710	MERIDA	MERIDA
969	31PJN0019C	BAMBINI MONTESSORI	CALLE 29 120	MERIDA	MERIDA
970	31PJN0026M	JARDIN DE NIÑOS AMERICANO	CALLE 72 499	MERIDA	MERIDA
971	31PJN0027L	COLEGIO PENINSULAR	CALLE 21 131	MERIDA	MERIDA
972	31PJN0028K	MERIDA	CALLE 60 KILOMETRO 4.5 ANTIGUA CARRETERA A PROGRESO	MERIDA	MERIDA
973	31PJN0029J	ESCUELA MONTESSORI DE YUCATAN	CALLE 1-H 302	MERIDA	MERIDA
974	31PJN0030Z	JENARO RODRIGUEZ CORREA	CALLE 20 201	MERIDA	MERIDA
975	31PJN0031Y	COLEGIO AMERICA DE MERIDA	CALLE 58-A 493	MERIDA	MERIDA
976	31PJN0033W	EDUCACION Y PATRIA	CALLE 66 484	MERIDA	MERIDA
977	31PJN0036T	CRI-CRI	CALLE 27 150	MERIDA	MERIDA
978	31PJN0037S	JUANA DE ASBAJE	CALLE 17-A 101	MERIDA	MERIDA
979	31PJN0040F	MI REINO INFANTIL	CALLE 14 530	MERIDA	MERIDA
980	31PJN0041E	ROCHAVI PENSIONES	CALLE 76 531	MERIDA	MERIDA
981	31PJN0043C	MAFALDA	CALLE 1 SUR 401	MERIDA	MERIDA
982	31PJN0045A	NORBET	CALLE 29 147	MERIDA	MERIDA
983	31PJN0046Z	MARY POPPINS	CALLE 58 394	MERIDA	MERIDA
984	31PJN0050M	MI PEQUEÑO MUNDO	CALLE 73-A 475 A	MERIDA	MERIDA
985	31PJN0051L	CRAYOLAS	CALLE 5 587	MERIDA	MERIDA
986	31PJN0053J	GRUPO MONTESSORI DE LA CIUDAD DE MERIDA	CALLE 24 305 A	MERIDA	MERIDA
987	31PJN0054I	DUM Y DEE	CALLE 5-F 474	MERIDA	MERIDA
988	31PJN0056G	CUQUIN	CALLE 21 111 C	MERIDA	MERIDA
989	31PJN0057F	ITZAMNA	CALLE 24 67  Num. Exterior 85	MERIDA	MERIDA
990	31PJN0058E	ARBOLEDA	CALLE 89-A 491 J-K	MERIDA	MERIDA
991	31PJN0060T	FRANCISCO GABILONDO SOLER	CALLE 31 251 A	MERIDA	MERIDA
992	31PJN0061S	BADEN POWELL	CALLE 32 257	MERIDA	MERIDA
993	31PJN0063Q	VISAM	CALLE 17 832	MERIDA	MERIDA
994	31PJN0066N	CENTRO EDUCATIVO KUKULCAN	CALLE 13 101	MERIDA	MERIDA
995	31PJN0072Y	MUNDO INFANTIL	CALLE 49-B 162	MERIDA	MERIDA
996	31PJN0074W	CENTRO EDUCATIVO LAROUSSE	CALLE 24 121	MERIDA	MERIDA
997	31PJN0076U	INSTITUTO PATRIA	CALLE PERIFERICO NORTE KM 2.5 (A ESPALDAS DE CITY CENTER)	MERIDA	MERIDA
998	31PJN0077T	INSTITUTO MEXICO	CALLE 19 327 C	MERIDA	MERIDA
999	31PJN0081F	ATENEO DE MERIDA	CALLE 32 151	MERIDA	MERIDA
1000	31PJN0082E	COLEGIO DEL MAYAB	CALLE 74 553 B	MERIDA	MERIDA
1001	31PJN0085B	MI POBRE ANGELITO	CALLE 55 423	MERIDA	MERIDA
1002	31PJN0086A	JUANA INES DE LA CRUZ	CALLE 37 200	MERIDA	MERIDA
1003	31PJN0089Y	SARA BUENFIL	CALLE 16 473	MERIDA	MERIDA
1004	31PJN0090N	KINDER MAGICO DE MERIDA	CALLE 55 697	MERIDA	MERIDA
1005	31PJN0092L	NIÑOS EN ACCION	CALLE 17 101 O	MERIDA	MERIDA
1006	31PJN0093K	CRECE PEQUEÑIN	CALLE 5-C 516	MERIDA	MERIDA
1007	31PJN0094J	MUNDO MAGICO	CALLE 42 153 A	MERIDA	MERIDA
1008	31PJN0095I	LOURDES	CALLE 65 344	MERIDA	MERIDA
1009	31PJN0101C	INSTITUTO OSSO DE YUCATAN	CALLE 5-A 289	MERIDA	MERIDA
1010	31PJN0103A	LA ESCUELITA DE FELIPITO	CALLE 65 597	MERIDA	MERIDA
1011	31PJN0104Z	ALEGRIA	CALLE 79 489 NA	MERIDA	MERIDA
1012	31PJN0108W	COLEGIO DEL BICENTENARIO	CALLE 14 193 C	MERIDA	MERIDA
1013	31PJN0110K	COLEGIO LIBANES PENINSULAR	CALLE 1-E 99	MERIDA	MERIDA
1014	31PJN0113H	MARIA DE MAEZTU	CALLE 10 522	MERIDA	MERIDA
1015	31PJN0114G	CASA BAMBINI	CALLE 13-A 337	MERIDA	MERIDA
1016	31PJN0116E	MOISES SAENZ	CALLE 74 468	MERIDA	MERIDA
1017	31PJN0117D	CENTRO EDUCATIVO EL MUNDO DE LOS NIÑOS	CALLE 23-A 323	MERIDA	MERIDA
1018	31PJN0120R	FRANCISCO MARQUEZ	CALLE 72 431	MERIDA	MERIDA
1019	31PJN0122P	CENTRO ESCOLAR PEDAGOGICO DEL SURESTE	CALLE 53-C 368	MERIDA	MERIDA
1020	31PJN0123O	COLIBRI	CALLE 47 392 H	MERIDA	MERIDA
1021	31PJN0124N	MAGICO UNIVERSO	CALLE 14 641	MERIDA	MERIDA
1022	31PJN0125M	MANITAS CREATIVAS DE LA LOTERIA NACIONAL	CALLE 14 743	MERIDA	MERIDA
1023	31PJN0128J	PASITOS DE PREESCOLAR	CALLE 69 342	MERIDA	MERIDA
1024	31PJN0129I	JARDIN DE NIÑOS CONTINENTAL	CALLE 21 40	MERIDA	MERIDA
1025	31PJN0131X	EL MUNDO DE LOS NIÑOS	CALLE 64 707 A	MERIDA	MERIDA
1026	31PJN0139P	ESPAÑOL MEXICANO	CALLE 122 266	MERIDA	MERIDA
1027	31PJN0140E	MANOS MAGICAS	CALLE 40 431	MERIDA	MERIDA
1028	31PJN0141D	INSTITUTO SAN PATRICIO	CALLE 5-C 320	MERIDA	MERIDA
1029	31PJN0142C	CENTRO EDUCATIVO RENACIMIENTO	CALLE 16 61	MERIDA	MERIDA
1030	31PJN0143B	NIÑOS DEL MUNDO	CALLE 73-C 946	MERIDA	MERIDA
1031	31PJN0148X	CAMPESTRE	CALLE 15 134	MERIDA	MERIDA
1032	31PJN0155G	CENTRO EDUCATIVO PARTENON	CALLE 3 NORTE 100	MERIDA	MERIDA
1033	31PJN0156F	ELOISA PATRON DE ROSADO	CALLE 17 102	MERIDA	MERIDA
1034	31PJN0157E	KOMENSKI	CALLE 5 135	MERIDA	MERIDA
1035	31PJN0160S	MIGUEL HIDALGO	CALLE 25-A 455	MERIDA	MERIDA
1036	31PJN0162Q	MIS PALOMITAS	CALLE 61 245	MERIDA	MERIDA
1037	31PJN0163P	MONTESSORI MONTECRISTO	CALLE 2-A 88	MERIDA	MERIDA
1038	31PJN0164O	CENTRO EDUCATIVO MAR Y SOL	CALLE 69-B 313	MERIDA	MERIDA
1039	31PJN0165N	COLEGIO DE EDUCACION PEDAGOGICA ACTIVA INTEGRAL	CALLE 12 281	MERIDA	MERIDA
1040	31PJN0167L	INSTITUTO CUMBRES	CALLE 5	MERIDA	MERIDA
1041	31PJN0168K	CENTRO EDUCATIVO APRENDICES VISTA ALEGRE	CALLE 7 359	MERIDA	MERIDA
1042	31PJN0169J	PEQUEÑINES	CALLE 79 531 NA	MERIDA	MERIDA
1043	31PJN0171Y	U-BEEJIL KAAN BAAL (EL CAMINO DEL SABER)	CALLE 65 315 E-G	MERIDA	MERIDA
1044	31PJN0172X	PETALITOS	CALLE 17 325	MERIDA	MERIDA
1045	31PJN0173W	OVIDE DECROLY	CALLE 35 200 C	MERIDA	MERIDA
1046	31PJN0176T	EDAI FREINET	CALLE 19 522	MERIDA	MERIDA
1047	31PJN0177S	OSITOS FELICES	CALLE 17 266	MERIDA	MERIDA
