ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
73	31DJN0158Z	PABLO PICASSO	CALLE 27 97	BOKOBA	BOKOBA
74	31DPR0171J	IGNACIO ZARAGOZA	CALLE 21 92	BOKOBA	BOKOBA
75	31DPR1728W	GABRIEL NAVARRETE PEREYRA	CALLE 21 99	BOKOBA	BOKOBA
76	31EES0090R	GENER ROBERTO SOSA SOSA	CALLE 21	BOKOBA	BOKOBA
77	31DJN0054D	EMILIANO ZAPATA	CALLE 22	BUCTZOTZ	BUCTZOTZ
78	31DJN0182Z	FRANCISCO MARQUEZ	CALLE 12	BUCTZOTZ	BUCTZOTZ
79	31DCC2008Q	X-K'AN LOOL		X-BEC	BUCTZOTZ
80	31KJN0156K	PREESCOLAR COMUNITARIO		SANTO DOMINGO	BUCTZOTZ
81	31KJN0005E	PREESCOLAR COMUNITARIO		LA GRAN LUCHA	BUCTZOTZ
82	31KJN0155L	PREESCOLAR COMUNITARIO		SAN FRANCISCO	BUCTZOTZ
83	31DPR0142O	LEOPOLDO AGUILAR ROCA	CALLE 29	BUCTZOTZ	BUCTZOTZ
84	31DPR0666T	ESTEBAN TORRES PACHECO	CALLE 11	BUCTZOTZ	BUCTZOTZ
85	31DPR0909Z	LEOPOLDO AGUILAR ROCA	CALLE 29	BUCTZOTZ	BUCTZOTZ
86	31EPR0004L	ELIGIO ANCONA CASTILLO	CALLE 19 99	BUCTZOTZ	BUCTZOTZ
87	31DPR0928N	EL NIÑO ARTILLERO		X-BEC	BUCTZOTZ
88	31DPB0071J	MARIANO ARISTA		SANTO DOMINGO	BUCTZOTZ
89	31DPR0245K	FELIPE CARRILLO PUERTO		LA GRAN LUCHA	BUCTZOTZ
90	31KPR0003X	PRIMARIA COMUNITARIA		SAN FRANCISCO	BUCTZOTZ
91	31DST0011H	ESCUELA SECUNDARIA TECNICA NUM. 11	CALLE 20	BUCTZOTZ	BUCTZOTZ
92	31ETV0102L	AMADO NERVO		X-BEC	BUCTZOTZ
93	31KTV0007S	SECUNDARIA COMUNITARIA		SANTO DOMINGO	BUCTZOTZ
94	31KTV0001Y	SECUNDARIA COMUNITARIA		LA GRAN LUCHA	BUCTZOTZ
95	31KTV0011E	SECUNDARIA COMUNITARIA		SAN FRANCISCO	BUCTZOTZ
96	31DJN0110F	CHAC-MOOL	CALLE 18 91	CACALCHEN	CACALCHEN
97	31DJN2029S	RITA CETINA GUTIERREZ	CALLE 21	CACALCHEN	CACALCHEN
98	31DPR0235D	IGNACIO ALLENDE	CALLE 18 96	CACALCHEN	CACALCHEN
99	31DPR0929M	IGNACIO ALLENDE	CALLE 21 96	CACALCHEN	CACALCHEN
100	31EPR0006J	JOSE MA MORELOS Y PAVON	CALLE 21 111	CACALCHEN	CACALCHEN
101	31DST0032U	RICARDO LOPEZ MENDEZ	CARRETERA CACALCHEN-BOKOBA KILOMETRO 1	CACALCHEN	CACALCHEN
102	31DCC0167R	EMILIANO ZAPATA	CALLE 19	CALOTMUL	CALOTMUL
103	31DJN0029E	ALFREDO PENICHE EROSA	CALLE 23 47	CALOTMUL	CALOTMUL
104	31DCC0121W	CHILAM BALAM		POCOBOCH	CALOTMUL
105	31DCC0180L	FEDERICO FROEBEL		TAHCABO	CALOTMUL
106	31DPR0470H	ANDRES QUINTANA ROO	CALLE 20 SN	CALOTMUL	CALOTMUL
107	31DPR0926P	ANDRES QUINTANA ROO	CALLE 20 SN	CALOTMUL	CALOTMUL
108	31DPR1001W	BENITO JUAREZ GARCIA	CALLE CONOCIDO DOMICILIO CONOCIDO	POCOBOCH	CALOTMUL
109	31DPR0934Y	VALENTIN GOMEZ FARIAS	CALLE CONOCIDO DOMICILIO CONOCIDO	TAHCABO	CALOTMUL
110	31DST0043Z	ESCUELA SECUNDARIA TECNICA NUM. 43	CARRETERA CALOTMUL-TIZIMIN KILOMETRO 2	CALOTMUL	CALOTMUL
111	31ETV0103K	ALFREDO BARRERA MARIN		POCOBOCH	CALOTMUL
112	31ETV0082O	TOMAS AZNAR BARBACHANO		TAHCABO	CALOTMUL
113	31DJN0010G	SOR JUANA INES DE LA CRUZ	CALLE 24 104	CANSAHCAB	CANSAHCAB
114	31DJN0192F	LUIS PASTEUR	CALLE 23	CANSAHCAB	CANSAHCAB
115	31KJN0007C	PREESCOLAR COMUNITARIO		SAN ANTONIO XIAT	CANSAHCAB
116	31KJN0008B	PREESCOLAR COMUNITARIO		SANTA MARIA	CANSAHCAB
117	31DPR0634A	HEROE DE NACOZARI	CALLE 28	CANSAHCAB	CANSAHCAB
118	31DPR0922T	FELIPE CARRILLO PUERTO	CALLE 27 94	CANSAHCAB	CANSAHCAB
