NOMBRE,CALLE Y NUMERO,LOCALIDAD,MUNICIPIO,LAT_HITS,LNG_HITS
RICARDO FLORES MAGON,CALLE 10 57,NOLO,TIXKOKOB,ZERO_RESULTS,ZERO_RESULTS
SOLIDARIDAD,CALLE 10 618,MERIDA,MERIDA,20.9688812,-89.6693961
FELIPE CARRILLO PUERTO,CALLE 10 SN,TIXCANCAL,TIZIMIN,ZERO_RESULTS,ZERO_RESULTS
RAFAEL MATOS ESCOBEDO,CALLE 100,MERIDA,MERIDA,20.955127,-89.6509852
NUEVA CREACION,CALLE 100 663,MERIDA,MERIDA,21.0259775,-89.6254341
TUMBEN LOL,CALLE 102,MERIDA,MERIDA,20.95821,-89.649739
CENTRO EDUCATIVO YALDUD,CALLE 102 429,MERIDA,MERIDA,20.9766846,-89.6490098
HEROES DE LA REVOLUCION,CALLE 103 481,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
EL JARDIN DEL ABUELITO,CALLE 104 433 A,MERIDA,MERIDA,20.9795049,-89.6497533
HEROES DE MEXICO,CALLE 104 433 A,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
NETZAHUALCOYOTL,CALLE 104 435,MERIDA,MERIDA,20.9773401,-89.6498523
NETZAHUALCOYOTL,CALLE 104 435,MERIDA,MERIDA,20.9773401,-89.6498523
GABRIELA MISTRAL,CALLE 104 443 A,MERIDA,MERIDA,20.9762182,-89.6499388
EMILIANO ZAPATA,CALLE 105 640  Num. Exterior 650,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JUAN ESCUTIA,CALLE 106 670,MERIDA,MERIDA,20.9535266,-89.6548483
LORENZO FILHO,CALLE 107,MERIDA,MERIDA,20.942665,-89.6127537
MIGUEL CERVANTES SAAVEDRA,CALLE 108,MERIDA,MERIDA,20.9491951,-89.6605956
JOSE ESQUIVEL PREN,CALLE 108,MERIDA,MERIDA,20.9470889,-89.6558243
MARIA DEL CARMEN FERRAEZ IBARRA,CALLE 108 SN,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ANGELA GONZALEZ DE MENENDEZ,CALLE 109-F,MERIDA,MERIDA,20.9385902,-89.6471168
ADOLFO LOPEZ MATEOS,CALLE 11,ABALA,ABALA,ZERO_RESULTS,ZERO_RESULTS
ESTEBAN TORRES PACHECO,CALLE 11,BUCTZOTZ,BUCTZOTZ,21.2067103,-88.7935015
RICARDO LOPEZ MENDEZ,CALLE 11,DZEMUL,DZEMUL,ZERO_RESULTS,ZERO_RESULTS
ESCUELA SECUNDARIA TECNICA NUM. 52,CALLE 11,DZILAM DE BRAVO,DZILAM DE BRAVO,21.3906636,-88.9024944
HERMENEGILDO GALEANA,CALLE 11,CEPEDA,HALACHO,20.5069872,-90.1094518
PABLO BOLIO PONCE,CALLE 11,CITILCUM,IZAMAL,20.9485984,-89.1192383
CIRCO UNIVERSAL,CALLE 11,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ESCUELA COMUNITARIA CONAFE,CALLE 11,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ESCUELA CONAFE,CALLE 11,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ESCUELA COMUNITARIA CONAFE,CALLE 11,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
NIDIA BETANCOURT DE AYALA,CALLE 11,MERIDA,MERIDA,21.0045503,-89.5967258
ITZAMNA,CALLE 11,TEKAL DE VENEGAS,TEKAL DE VENEGAS,ZERO_RESULTS,ZERO_RESULTS
BATALLA DE PUEBLA,CALLE 11,XAYA,TEKAX,ZERO_RESULTS,ZERO_RESULTS
RODOLFO MENENDEZ DE LA PEÑA,CALLE 11,TEKOM,TEKOM,ZERO_RESULTS,ZERO_RESULTS
ESCUELA PRIMARIA,CALLE 11,TEKOM,TEKOM,ZERO_RESULTS,ZERO_RESULTS
MARIA MONTESSORI,CALLE 11,TEMOZON,TEMOZON,ZERO_RESULTS,ZERO_RESULTS
ESCUELA SECUNDARIA TECNICA NUM. 39,CALLE 11,TEMOZON,TEMOZON,ZERO_RESULTS,ZERO_RESULTS
EDGAR EULOGIO MOGUEL BARRERA,CALLE 11,TETIZ,TETIZ,ZERO_RESULTS,ZERO_RESULTS
CONCEPCION CASTRO ANDRADE,CALLE 11 2,MERIDA,MERIDA,21.015563,-89.5799365
CENTRO EDUCATIVO ITZIMNA,CALLE 11 203,MERIDA,MERIDA,20.9978373,-89.6145591
JARDIN DE NIÑOS ITZIMNA,CALLE 11 203,MERIDA,MERIDA,20.9977196,-89.6145314
CENTRO EDUCATIVO MONTESSORI DE MERIDA,CALLE 11 257,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
TEDY,CALLE 11 332,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
GRUPO MONTESSORI DE LA CIUDAD DE MERIDA-A.C.,CALLE 11 332,MERIDA,MERIDA,21.032716,-89.637858
CENTRO ESCOLAR LOS NIÑOS DEL MAÑANA,CALLE 11 516,MERIDA,MERIDA,20.9796717,-89.5750709
CENTRO ESCOLAR LOS NIÑOS DEL MAÑANA,CALLE 11 518,MERIDA,MERIDA,20.9796717,-89.5750709
CONSUELO ANDRADE,CALLE 11 52 A,XANABA,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
NUEVA CREACION,CALLE 11 52 A,XANABA,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
VENUSTIANO CARRANZA,CALLE 11 76,DZILAM DE BRAVO,DZILAM DE BRAVO,21.3926014,-88.8935917
EMILIANO ZAPATA,CALLE 11 87,CELESTUN,CELESTUN,ZERO_RESULTS,ZERO_RESULTS
JOSEFA ORTIZ DE DOMINGUEZ,CALLE 11 AVENIDA PRINCIPAL,CELESTUN,CELESTUN,ZERO_RESULTS,ZERO_RESULTS
IRMA FLOR CAMARGO MARTINEZ,CALLE 11 NA,SUDZAL,SUDZAL,ZERO_RESULTS,ZERO_RESULTS
LAZARO CARDENAS DEL RIO,CALLE 11 NA,TELCHAC,TELCHAC PUEBLO,ZERO_RESULTS,ZERO_RESULTS
CENTRO EDUCATIVO INFANTIL MI MUNDO NUEVO,CALLE 110 574,MERIDA,MERIDA,20.96063,-89.6553286
FELIPE CARRILLO PUERTO,CALLE 111-A,MERIDA,MERIDA,20.9941982,-89.6024488
FELIPE CARRILLO PUERTO,CALLE 111-A,MERIDA,MERIDA,20.9941982,-89.6024488
MARIA DEL SOCORRO TRINCHAN AGUILAR,CALLE 112,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JOAQUIN COELLO COELLO,CALLE 112 735,MERIDA,MERIDA,20.956158,-89.6555044
FELIPE CARRILLO PUERTO,CALLE 112 735,MERIDA,MERIDA,20.9949422,-89.6015777
FRANCISCO I. MADERO,CALLE 112 SN,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MARIA CURIE,CALLE 115,MERIDA,MERIDA,20.9350317,-89.6234633
JUSTO SIERRA MENDEZ,CALLE 115 520,MERIDA,MERIDA,20.9358328,-89.6321887
JUSTO SIERRA MENDEZ,CALLE 115 520,MERIDA,MERIDA,20.9358328,-89.6321887
JOSE VASCONCELOS,CALLE 115 NA,MERIDA,MERIDA,20.9345677,-89.6155174
SILVIA NELLY CUEVAS AGUILAR,CALLE 115 SN,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
ESTEFANIA CASTAÑEDA,CALLE 116,MERIDA,MERIDA,20.9572028,-89.6586305
MANUEL GUTIERREZ NAJERA,CALLE 116-A,MERIDA,MERIDA,20.9777932,-89.6564825
CARMEN GOMEZ RUL,CALLE 117,MERIDA,MERIDA,20.9335822,-89.6139184
COLEGIO HUMANISTA ALFRED NOBEL,CALLE 118 221,MERIDA,MERIDA,21.0701376,-89.6637267
JESUS REYES HEROLES,CALLE 118 314,MERIDA,MERIDA,20.9757915,-89.659799
PABLO BOLIO PONCE,CALLE 118 314,MERIDA,MERIDA,20.9757915,-89.659799
FRANCISCO MARQUEZ,CALLE 12,BUCTZOTZ,BUCTZOTZ,ZERO_RESULTS,ZERO_RESULTS
ISMAEL RODRIGUEZ ARAGON,CALLE 12,CUNCUNUL,CUNCUNUL,ZERO_RESULTS,ZERO_RESULTS
U' NAJIL U XOOK,CALLE 12,CHOCHOLA,CHOCHOLA,ZERO_RESULTS,ZERO_RESULTS
POPOL VUH,CALLE 12,HOCABA,HOCABA,ZERO_RESULTS,ZERO_RESULTS
MIGUEL HIDALGO Y COSTILLA,CALLE 12,SANTO DOMINGO,MAXCANU,ZERO_RESULTS,ZERO_RESULTS
ADOLFO CISNEROS CAMARA,CALLE 12,MERIDA,MERIDA,20.9923097,-89.5912609
VICENTE RIVA PALACIO,CALLE 12,MUNA,MUNA,ZERO_RESULTS,ZERO_RESULTS
MARIANO MATAMOROS,CALLE 12,TIBOLON,SOTUTA,ZERO_RESULTS,ZERO_RESULTS
VALENTIN GOMEZ FARIAS,CALLE 12,TAHDZIU,TAHDZIU,ZERO_RESULTS,ZERO_RESULTS
JUAN DE DIOS RODRIGUEZ HEREDIA,CALLE 12,TEMOZON,TEMOZON,ZERO_RESULTS,ZERO_RESULTS
REVOLUCION,CALLE 12,TEMOZON,TEMOZON,ZERO_RESULTS,ZERO_RESULTS
FELIPE CARRILLO PUERTO,CALLE 12,PISTE,TINUM,20.6995941,-88.58954
ARTEMIO ALPIZAR RUZ,CALLE 12,TIXCACALCUPUL,TIXCACALCUPUL,ZERO_RESULTS,ZERO_RESULTS
ONECIFORO BURGOS CONCHA,CALLE 12,TIXKOKOB,TIXKOKOB,20.9907572,-89.3921539
JUAN RAMON JIMENEZ,CALLE 12,VALLADOLID,VALLADOLID,ZERO_RESULTS,ZERO_RESULTS
NUEVA CREACION,CALLE 12,VALLADOLID,VALLADOLID,ZERO_RESULTS,ZERO_RESULTS
JOSE PEON CONTRERAS,CALLE 12 100 B,SINANCHE,SINANCHE,20.9695217,-89.6222319
COLEGIO DEL BICENTENARIO,CALLE 12 204,MERIDA,MERIDA,20.9854329,-89.6291215
COLEGIO DE EDUCACION PEDAGOGICA ACTIVA INTEGRAL,CALLE 12 281,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MAURO LOPEZ SOSA,CALLE 12 84,TIBOLON,SOTUTA,ZERO_RESULTS,ZERO_RESULTS
BICENTENARIO INDEPENDENCIA DE MEXICO,CALLE 12 DIAGONAL 323,MERIDA,MERIDA,21.0136013,-89.5862917
AQUILES SERDAN,CALLE 12 SN,LOCHE,PANABA,ZERO_RESULTS,ZERO_RESULTS
LAZARO CARDENAS DEL RIO,CALLE 120 NA,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
NELLY SANSORES,CALLE 122,MERIDA,MERIDA,20.9810198,-89.6603457
COLEGIO ESPAÑOL MEXICANO,CALLE 122 250,MERIDA,MERIDA,20.982884,-89.6567772
ESPAÑOL MEXICANO,CALLE 122 266,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MI MEJOR AMIGO,CALLE 123-A 237,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MI MEJOR AMIGO,CALLE 123-A 237,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
COLEGIO NIÑOS DE AMERICA,CALLE 124-D 281,MERIDA,MERIDA,20.9846664,-89.6616822
COLEGIO NIÑOS DE AMERICA-A.C.,CALLE 124-D 283,MERIDA,MERIDA,20.9846664,-89.6616822
NIÑOS EXPLORADORES,CALLE 124 100 B,MERIDA,MERIDA,20.9587075,-89.667741
AUGUSTO MOLINA RAMOS,CALLE 125,MERIDA,MERIDA,20.9293822,-89.6234115
PEDRO R PINZON SANCHEZ,CALLE 125,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
CONSUELO ZAVALA,CALLE 125 897,MERIDA,MERIDA,20.929654,-89.6205132
CENTRO ESCOLAR JAIME TORRES BODET,CALLE 126 104 D,MERIDA,MERIDA,20.9608096,-89.6691431
VICENTE GAMBOA,CALLE 127-B 212,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
SERAPIO RENDON,CALLE 127-B 212,MERIDA,MERIDA,20.9298505,-89.6147855
LAURENCO FILHO,CALLE 127-B 254,MERIDA,MERIDA,20.9291689,-89.6166234
JOSE MARIA MORELOS,CALLE 129,MERIDA,MERIDA,20.9288276,-89.6429118
NIÑOS HEROES,CALLE 129 574,MERIDA,MERIDA,20.9232469,-89.627933
LAZARO CARDENAS DEL RIO,CALLE 129 639,MERIDA,MERIDA,20.9270858,-89.6353211
VICENTE MARIA VELAZQUEZ,CALLE 129 639,MERIDA,MERIDA,20.9283332,-89.6398138
NICOLAS BRAVO,CALLE 13,DZILAM DE BRAVO,DZILAM DE BRAVO,21.3932363,-88.8887196
5 DE FEBRERO,CALLE 13,HALACHO,HALACHO,ZERO_RESULTS,ZERO_RESULTS
RICARDO LOPEZ MENDEZ,CALLE 13,IZAMAL,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
HERBERT SPENCER,CALLE 13,MAXCANU,MAXCANU,20.5904573,-90.0062564
LAZARO CARDENAS DEL RIO,CALLE 13,MAXCANU,MAXCANU,20.5904698,-90.0056517
FELIPE CARRILLO PUERTO,CALLE 13,MERIDA,MERIDA,21.0193062,-89.6271117
FRANCISCO JAVIER MINA,CALLE 13,QUINTANA ROO,QUINTANA ROO,ZERO_RESULTS,ZERO_RESULTS
MIGUEL HIDALGO Y COSTILLA,CALLE 13,SANAHCAT,SANAHCAT,20.7726904,-89.2142237
JACINTO PAT,CALLE 13,SUDZAL,SUDZAL,ZERO_RESULTS,ZERO_RESULTS
ELIGIO ANCONA,CALLE 13-A,TICUL,TICUL,ZERO_RESULTS,ZERO_RESULTS
CASA BAMBINI,CALLE 13-A 337,MERIDA,MERIDA,21.0236425,-89.5712053
CENTRO EDUCATIVO KUKULCAN,CALLE 13 101,MERIDA,MERIDA,20.9728487,-89.6690978
CENTRO EDUCATIVO KUKULCAN,CALLE 13 101,MERIDA,MERIDA,20.9728487,-89.6690978
CENTRO DE ESTIMULACION TEMPRANA MERIDA,CALLE 13 106 C,MERIDA,MERIDA,21.0205012,-89.6380696
CENTRO ESCOLAR NUEVO MEXICO,CALLE 13 106 D,MERIDA,MERIDA,21.0204991,-89.6380472
CECILIO CHI,CALLE 13 56,TEMOZON,TEMOZON,20.8027647,-88.2019245
ELIGIO ANCONA,CALLE 13 68,CHUBURNA,PROGRESO,ZERO_RESULTS,ZERO_RESULTS
DOMINGO PERAZA,CALLE 13 77 A,DZILAM GONZALEZ,DZILAM GONZALEZ,ZERO_RESULTS,ZERO_RESULTS
DOMINGO PERAZA,CALLE 13 77 A,DZILAM GONZALEZ,DZILAM GONZALEZ,ZERO_RESULTS,ZERO_RESULTS
JUSTO SIERRA O RELLY,CALLE 13 8,TIXCACALTUYUB,YAXCABA,ZERO_RESULTS,ZERO_RESULTS
XAVIER VILLAURRUTIA,CALLE 13 86,KANASIN,KANASIN,20.9243738,-89.5514531
SECUNDARIA NUM. 98,CALLE 13 SN,SANAHCAT,SANAHCAT,ZERO_RESULTS,ZERO_RESULTS
ANDRES QUINTANA ROO,CALLE 13 SN,TIBOLON,SOTUTA,ZERO_RESULTS,ZERO_RESULTS
GUSTAVO DIAZ ORDAZ,CALLE 131,MERIDA,MERIDA,20.9241868,-89.6281462
PEDRO MARIA ANAYA,CALLE 131,MERIDA,MERIDA,20.9265655,-89.6353771
ICHCAANSIHO,CALLE 132-A,MERIDA,MERIDA,20.9948787,-89.6652303
BENITO JUAREZ GARCIA,CALLE 133 455,MERIDA,MERIDA,20.923237,-89.6281724
NIÑOS HEROES,CALLE 133 455,MERIDA,MERIDA,20.9232469,-89.627933
GASPAR ANTONIO XIU,CALLE 133 671,MERIDA,MERIDA,20.9274788,-89.6457901
QUINTANA ROO,CALLE 136 717,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MARIA LAVALLE URBINA,CALLE 138 503,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
IX CHEBEL YAX,CALLE 14,ACANCEH,ACANCEH,ZERO_RESULTS,ZERO_RESULTS
EULALIO CASARES GALERA,CALLE 14,X-CUYUM,CONKAL,ZERO_RESULTS,ZERO_RESULTS
FRANCISCO I. MADERO,CALLE 14,CHEMAX,CHEMAX,20.6473821,-87.9340101
FELIPE CARRILLO PUERTO,CALLE 14,CHEMAX,CHEMAX,ZERO_RESULTS,ZERO_RESULTS
LUIS ROSADO VEGA,CALLE 14,CHEMAX,CHEMAX,20.6612067,-87.9289967
LUIS HUMBERTO MONSREAL OXTE,CALLE 14,CHEMAX,CHEMAX,ZERO_RESULTS,ZERO_RESULTS
FELIPE CARRILLO PUERTO,CALLE 14,DZAN,DZAN,ZERO_RESULTS,ZERO_RESULTS
MARGARITA MAZA DE JUAREZ,CALLE 14,HALACHO,HALACHO,ZERO_RESULTS,ZERO_RESULTS
JACINTO CANEK,CALLE 14,XANABA,IZAMAL,ZERO_RESULTS,ZERO_RESULTS
GONZALO NAVARRO BAEZ,CALLE 14,MERIDA,MERIDA,20.9434146,-89.6696515
FRANCISCO BATES,CALLE 14,CAUCEL,MERIDA,21.0130016,-89.7022688
JOAQUIN COELLO COELLO,CALLE 14,KOMCHEN,MERIDA,21.1017575,-89.6509128
SANTIAGO XICOTENCATL,CALLE 14,TELCHAC PUERTO,TELCHAC PUERTO,ZERO_RESULTS,ZERO_RESULTS
LUIS ALFONSO ARCEO SILVA,CALLE 14,TIXCACALCUPUL,TIXCACALCUPUL,ZERO_RESULTS,ZERO_RESULTS
MOTOLINIA DE MERIDA,CALLE 14 100,MERIDA,MERIDA,20.97342,-89.5988387
MOTOLINIA,CALLE 14 100,MERIDA,MERIDA,20.97342,-89.5988387
MOTOLINIA DE MERIDA,CALLE 14 100,MERIDA,MERIDA,20.97342,-89.5988387
FRANCISCO SOSA Y ESCALANTE,CALLE 14 103 A,TELCHAC,TELCHAC PUEBLO,ZERO_RESULTS,ZERO_RESULTS
CELSO FLORES ZAMORA,CALLE 14 106,XOCCHEL,XOCCHEL,ZERO_RESULTS,ZERO_RESULTS
VENUSTIANO CARRANZA,CALLE 14 106 NA,TELCHAC,TELCHAC PUEBLO,21.2005817,-89.266759
MIGUEL HIDALGO Y COSTILLA,CALLE 14 110,DZIDZANTUN,DZIDZANTUN,ZERO_RESULTS,ZERO_RESULTS
CUAUHTEMOC,CALLE 14 111 A,CUZAMA,CUZAMA,20.7399601,-89.3166586
MIGUEL HIDALGO Y COSTILLA,CALLE 14 147,CENOTILLO,CENOTILLO,ZERO_RESULTS,ZERO_RESULTS
GRACIANO RICALDE GAMBOA,CALLE 14 147,CENOTILLO,CENOTILLO,ZERO_RESULTS,ZERO_RESULTS
COLEGIO VILLA INFANTIL IBERO,CALLE 14 160,MERIDA,MERIDA,20.9863148,-89.6299286
COLEGIO DEL BICENTENARIO,CALLE 14 193 C,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
CUAUHTEMOC,CALLE 14 203 B,TICUL,TICUL,20.3946554,-89.5231789
JUSTO SIERRA MENDEZ,CALLE 14 301,MERIDA,MERIDA,20.9358328,-89.6321887
JOSE DE LA LUZ MENA ALCOCER,CALLE 14 35,MERIDA,MERIDA,21.0163273,-89.6264829
1 DE MAYO,CALLE 14 407,MERIDA,MERIDA,20.968472,-89.5962745
MI REINO INFANTIL,CALLE 14 530,MERIDA,MERIDA,20.964955,-89.5692348
MAGICO UNIVERSO,CALLE 14 641,MERIDA,MERIDA,20.9674229,-89.5857735
CENTRO EDUCATIVO INTEGRAL DE DESARROLLO INFANTIL,CALLE 14 668 A,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
C.E.I.D.I. CENTRO EDUCATIVO INTEGRAL DE DESARROLLO INFANTIL,CALLE 14 668 A,MERIDA,MERIDA,ZERO_RESULTS,ZERO_RESULTS
MANITAS CREATIVAS DE LA LOTERIA NACIONAL,CALLE 14 743,MERIDA,MERIDA,20.960272,-89.5857907
CENTRO EDUCATIVO DE LOTERIA NACIONAL,CALLE 14 743,MERIDA,MERIDA,20.960272,-89.5857907
AMPARO ROSADO,CALLE 14 76,ACANCEH,ACANCEH,20.81695,-89.4484248
AMPARO ROSADO,CALLE 14 76,ACANCEH,ACANCEH,20.81695,-89.4484248
ELADIO NOVELO GIL,CALLE 14 79,MAXCANU,MAXCANU,20.5856059,-89.995186
27 DE SEPTIEMBRE,CALLE 14 84,MERIDA,MERIDA,20.970789,-89.5980592
HEIDI,CALLE 14 88,MERIDA,MERIDA,20.9957525,-89.6060784
HEIDI,CALLE 14 88,MERIDA,MERIDA,20.9957525,-89.6060784
IGNACIO ALLENDE,CALLE 14 92,MOTUL DE CARRILLO PUERTO,MOTUL,ZERO_RESULTS,ZERO_RESULTS
FRANCISCO VILLA,CALLE 14 NA,CAUCEL,MERIDA,ZERO_RESULTS,ZERO_RESULTS
JUAN RAMON VEGA CAMARA,CALLE 140,MERIDA,MERIDA,20.991997,-89.6727312
PRIMITIVO ANTONIO RUBIO AVILA,CALLE 140,MERIDA,MERIDA,20.9918514,-89.6724357
"ESCUELA SECUNDARIA TECNICA 72 ""VICTOR MANUEL CERVERA PACHECO""",CALLE 140,MERIDA,MERIDA,20.9882923,-89.6740418
JUAN PEDRO PACHECO TORRES,CALLE 145,MERIDA,MERIDA,20.9196368,-89.6187669
